Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Sarpy County, Nebraska",31153,39.8,46108,"188 of 3146"
"Hanover County, Virginia",51085,39.8,29042,"189 of 3146"
"Grand Isle County, Vermont",50013,39.8,2096,"190 of 3146"
"Placer County, California",06061,39.7,107378,"191 of 3146"
"Douglas County, Nebraska",31055,39.7,144986,"192 of 3146"
"Richmond City, Virginia",51760,39.6,62578,"193 of 3146"
"Addison County, Vermont",50001,39.6,10068,"194 of 3146"
"Putnam County, New York",36079,39.6,27946,"195 of 3146"
"Seminole County, Florida",12117,39.6,128662,"196 of 3146"
"Gilpin County, Colorado",08047,39.6,1948,"197 of 3146"
"Lancaster County, Nebraska",31109,39.5,76759,"198 of 3146"
"Borden County, Texas",48033,39.5,165,"199 of 3146"
"Morgan County, Utah",49029,39.4,2551,"200 of 3146"
"Baltimore County, Maryland",24005,39.4,226425,"201 of 3146"
"Greene County, Ohio",39057,39.2,43981,"202 of 3146"
"Richland County, South Carolina",45079,39.1,100940,"203 of 3146"
"Delaware County, Pennsylvania",42045,39.0,149601,"204 of 3146"
"St. Charles County, Missouri",29183,38.9,104074,"205 of 3146"
"Ingham County, Michigan",26065,38.9,68502,"206 of 3146"
"Kalamazoo County, Michigan",26077,38.8,63961,"207 of 3146"
"Cook County, Illinois",17031,38.8,1392515,"208 of 3146"
"San Diego County, California",06073,38.8,871782,"209 of 3146"
"Tippecanoe County, Indiana",18157,38.7,40984,"210 of 3146"
"Monroe County, New York",36055,38.6,198049,"211 of 3146"
"Ada County, Idaho",16001,38.5,118604,"212 of 3146"
"El Paso County, Colorado",08041,38.5,174144,"213 of 3146"
"Juneau Borough, Alaska",02110,38.4,8666,"214 of 3146"
"Cache County, Utah",49005,38.3,24015,"215 of 3146"
"Windsor County, Vermont",50027,38.2,15879,"216 of 3146"
"Cherokee County, Georgia",13057,38.2,63567,"217 of 3146"
"Lamoille County, Vermont",50015,38.2,6792,"218 of 3146"
"Hartford County, Connecticut",09003,38.1,237493,"219 of 3146"
"Hillsborough County, New Hampshire",33011,38.1,110950,"220 of 3146"
"Windham County, Vermont",50025,38.1,12110,"221 of 3146"
"Burlington County, New Jersey",34005,38.0,119351,"222 of 3146"
"Geauga County, Ohio",39055,38.0,24464,"223 of 3146"
"Radford City, Virginia",51750,38.0,3115,"224 of 3146"
"Grand County, Colorado",08049,38.0,4396,"225 of 3146"
"Hamilton County, Ohio",39061,37.9,208326,"226 of 3146"
"Davis County, Utah",49011,37.8,76128,"227 of 3146"
"Teller County, Colorado",08119,37.7,7062,"228 of 3146"
"Knox County, Tennessee",47093,37.6,116086,"229 of 3146"
"Plymouth County, Massachusetts",25023,37.6,135077,"230 of 3146"
"Orleans Parish, Louisiana",22071,37.6,104257,"231 of 3146"
"Lincoln County, South Dakota",46083,37.6,13713,"232 of 3146"
"Kings County, New York",36047,37.5,667445,"233 of 3146"
"Moore County, North Carolina",37125,37.4,26250,"234 of 3146"
"Clackamas County, Oregon",41005,37.4,108614,"235 of 3146"
"Payne County, Oklahoma",40119,37.4,16465,"236 of 3146"
"Franklin County, Massachusetts",25011,37.3,19824,"237 of 3146"
"Hays County, Texas",48209,37.2,47623,"238 of 3146"
"Nevada County, California",06057,37.2,28307,"239 of 3146"
"Archuleta County, Colorado",08007,37.2,3767,"240 of 3146"
"Hendricks County, Indiana",18063,37.0,40319,"241 of 3146"
"Gwinnett County, Georgia",13135,36.9,215339,"242 of 3146"
"Dawes County, Nebraska",31045,36.9,1920,"243 of 3146"
"Comal County, Texas",48091,36.8,36365,"244 of 3146"
"Polk County, Iowa",19153,36.7,116749,"245 of 3146"
"Harford County, Maryland",24025,36.7,64164,"246 of 3146"
"Palm Beach County, Florida",12099,36.7,393340,"247 of 3146"
"Cumberland County, Pennsylvania",42041,36.6,63896,"248 of 3146"
"Queen Annes County, Maryland",24035,36.5,12801,"249 of 3146"
"Collier County, Florida",12021,36.4,102709,"250 of 3146"
"Worcester County, Massachusetts",25027,36.4,206929,"251 of 3146"
"Madison County, Idaho",16065,36.4,5948,"252 of 3146"
"Fauquier County, Virginia",51061,36.4,17487,"253 of 3146"
"Carroll County, Maryland",24013,36.4,42417,"254 of 3146"
"Columbia County, Georgia",13073,36.4,36382,"255 of 3146"
"Sagadahoc County, Maine",23023,36.4,9652,"256 of 3146"
"Suffolk County, New York",36103,36.3,374665,"257 of 3146"
"St. Louis City, Missouri",29510,36.3,79669,"258 of 3146"
"Campbell County, Kentucky",21037,36.3,23136,"259 of 3146"
"Ontario County, New York",36069,36.3,28024,"260 of 3146"
"Ellis County, Kansas",20051,36.3,6335,"261 of 3146"
"Harrisonburg City, Virginia",51660,36.3,9795,"262 of 3146"
"Bennington County, Vermont",50003,36.2,9227,"263 of 3146"
"Kendall County, Illinois",17093,36.2,28658,"264 of 3146"
"New Castle County, Delaware",10003,36.2,138627,"265 of 3146"
"Coconino County, Arizona",04005,36.2,30042,"266 of 3146"
"Sussex County, New Jersey",34037,36.1,36531,"267 of 3146"
"Anchorage Borough, Alaska",02020,36.1,69282,"268 of 3146"
"Grand Traverse County, Michigan",26055,36.0,23999,"269 of 3146"
"Guilford County, North Carolina",37081,36.0,126827,"270 of 3146"
"Virginia Beach City, Virginia",51810,36.0,110580,"271 of 3146"
"King George County, Virginia",51099,36.0,6246,"272 of 3146"
"Butler County, Pennsylvania",42019,36.0,47824,"273 of 3146"
"Union County, New Jersey",34039,36.0,135437,"274 of 3146"
"Onondaga County, New York",36067,35.9,113367,"275 of 3146"
"Elbert County, Colorado",08039,35.8,6564,"276 of 3146"
"Burleigh County, North Dakota",38015,35.8,22873,"277 of 3146"
"Strafford County, New Hampshire",33017,35.8,30194,"278 of 3146"
"Rappahannock County, Virginia",51157,35.8,1966,"279 of 3146"
"Napa County, California",06055,35.7,35091,"280 of 3146"
"Kent County, Michigan",26081,35.7,152873,"281 of 3146"
"Thurston County, Washington",53067,35.7,70142,"282 of 3146"
"San Juan County, Colorado",08111,35.7,173,"283 of 3146"
"Merrimack County, New Hampshire",33013,35.6,38008,"284 of 3146"
"Lincoln Parish, Louisiana",22061,35.6,9200,"285 of 3146"
"Grand Forks County, North Dakota",38035,35.6,14729,"286 of 3146"
"Lynchburg City, Virginia",51680,35.6,15981,"287 of 3146"
"Salt Lake County, Utah",49035,35.6,254184,"288 of 3146"
"Roanoke County, Virginia",51161,35.6,24021,"289 of 3146"
"Union County, Ohio",39159,35.5,13579,"290 of 3146"
"Sonoma County, California",06097,35.5,127582,"291 of 3146"
"Essex County, New Jersey",34013,35.5,189550,"292 of 3146"
"Sarasota County, Florida",12115,35.4,118657,"293 of 3146"
"Beaverhead County, Montana",30001,35.4,2268,"294 of 3146"
"Litchfield County, Connecticut",09005,35.4,47658,"295 of 3146"
"Union County, North Carolina",37179,35.4,52171,"296 of 3146"
"Livingston County, Michigan",26093,35.4,47052,"297 of 3146"
"Deschutes County, Oregon",41017,35.4,47993,"298 of 3146"
"San Luis Obispo County, California",06079,35.4,66812,"299 of 3146"
"St. Croix County, Wisconsin",55109,35.4,21149,"300 of 3146"
"Blaine County, Idaho",16013,35.4,5609,"301 of 3146"
"Lee County, Alabama",01081,35.3,34273,"302 of 3146"
"Midland County, Michigan",26111,35.2,20528,"303 of 3146"
"Kent County, Maryland",24029,35.1,4895,"304 of 3146"
"Winchester City, Virginia",51840,35.1,6503,"305 of 3146"
"Greenville County, South Carolina",45045,35.1,120854,"306 of 3146"
"Dutchess County, New York",36027,35.0,72058,"307 of 3146"
"Monroe County, Illinois",17133,35.0,8460,"308 of 3146"
"Honolulu County, Hawaii",15003,35.0,238767,"309 of 3146"
"New Haven County, Connecticut",09009,35.0,209002,"310 of 3146"
"Jefferson County, Montana",30043,35.0,3022,"311 of 3146"
"Lawrence County, South Dakota",46081,35.0,6196,"312 of 3146"
"East Baton Rouge Parish, Louisiana",22033,34.9,98011,"313 of 3146"
"La Crosse County, Wisconsin",55063,34.9,26309,"314 of 3146"
"Blue Earth County, Minnesota",27013,34.8,13550,"315 of 3146"
"Dare County, North Carolina",37055,34.7,9359,"316 of 3146"
"Hughes County, South Dakota",46065,34.7,4234,"317 of 3146"
"Buffalo County, Nebraska",31019,34.6,10462,"318 of 3146"
"Orange County, Florida",12095,34.6,312816,"319 of 3146"
"Alpine County, California",06003,34.5,266,"320 of 3146"
"Montgomery County, Texas",48339,34.5,128928,"321 of 3146"
"Sangamon County, Illinois",17167,34.5,47107,"322 of 3146"
"McHenry County, Illinois",17111,34.4,71708,"323 of 3146"
"Bernalillo County, New Mexico",35001,34.4,160401,"324 of 3146"
"Monroe County, Florida",12087,34.4,20467,"325 of 3146"
"Erie County, New York",36029,34.4,221931,"326 of 3146"
"Pulaski County, Arkansas",05119,34.3,91541,"327 of 3146"
"El Dorado County, California",06017,34.3,46995,"328 of 3146"
"Will County, Illinois",17197,34.3,154876,"329 of 3146"
"Carroll County, New Hampshire",33003,34.3,12811,"330 of 3146"
"Whatcom County, Washington",53073,34.3,50116,"331 of 3146"
"Clay County, Minnesota",27027,34.2,13179,"332 of 3146"
"Santa Barbara County, California",06083,34.2,93973,"333 of 3146"
"Jackson County, Illinois",17077,34.1,11955,"334 of 3146"
"Lamar County, Mississippi",28073,34.1,14001,"335 of 3146"
"Martin County, Florida",12085,34.1,41795,"336 of 3146"
"Hancock County, Maine",23009,34.1,14158,"337 of 3146"
"Ottawa County, Michigan",26139,34.1,60731,"338 of 3146"
"Forsyth County, North Carolina",37067,34.0,85565,"339 of 3146"
"Park County, Wyoming",56029,34.0,7059,"340 of 3146"
"Fluvanna County, Virginia",51065,33.9,6544,"341 of 3146"
"Medina County, Ohio",39103,33.9,42166,"342 of 3146"
"Richmond County, New York",36085,33.9,111976,"343 of 3146"
"St. Tammany Parish, Louisiana",22103,33.8,58978,"344 of 3146"
"Nicollet County, Minnesota",27103,33.8,7490,"345 of 3146"
"Ventura County, California",06111,33.8,192675,"346 of 3146"
"Pottawatomie County, Kansas",20149,33.8,5096,"347 of 3146"
"Haines Borough, Alaska",02100,33.8,625,"348 of 3146"
"Woodford County, Kentucky",21239,33.8,6183,"349 of 3146"
"Chaffee County, Colorado",08015,33.8,5244,"350 of 3146"
"Door County, Wisconsin",55029,33.7,7258,"351 of 3146"
"Berkshire County, Massachusetts",25003,33.6,31156,"352 of 3146"
"Chatham County, Georgia",13051,33.6,65257,"353 of 3146"
"Island County, Washington",53029,33.6,20314,"354 of 3146"
"Dickinson County, Iowa",19059,33.6,4277,"355 of 3146"
"Knox County, Maine",23013,33.5,10066,"356 of 3146"
"Hillsborough County, Florida",12057,33.5,326431,"357 of 3146"
"Wood County, Ohio",39173,33.5,27089,"358 of 3146"
"Lincoln County, Maine",23015,33.5,8811,"359 of 3146"
"Bartholomew County, Indiana",18005,33.5,18737,"360 of 3146"
"Cleveland County, Oklahoma",40027,33.4,59491,"361 of 3146"
"Jefferson County, Kentucky",21111,33.4,177361,"362 of 3146"
"Emmet County, Michigan",26047,33.4,8052,"363 of 3146"
"Staunton City, Virginia",51790,33.4,5890,"364 of 3146"
"Jefferson County, Alabama",01073,33.4,150124,"365 of 3146"
"Montgomery County, Alabama",01101,33.4,50254,"366 of 3146"
"Sitka Borough, Alaska",02220,33.4,2051,"367 of 3146"
"Benton County, Arkansas",05007,33.4,58000,"368 of 3146"
"Cole County, Missouri",29051,33.3,17568,"369 of 3146"
"New London County, Connecticut",09011,33.3,62636,"370 of 3146"
"Washington County, Arkansas",05143,33.3,46968,"371 of 3146"
"York County, South Carolina",45091,33.3,59552,"372 of 3146"
"Kent County, Rhode Island",44003,33.3,40273,"373 of 3146"
"Clay County, Missouri",29047,33.2,54329,"374 of 3146"
"Woodford County, Illinois",17203,33.2,8651,"375 of 3146"
"Harvey County, Kansas",20079,33.2,7543,"376 of 3146"
"Kitsap County, Washington",53035,33.2,61296,"377 of 3146"
"Chesapeake City, Virginia",51550,33.2,53398,"378 of 3146"
"Kane County, Illinois",17089,33.1,114683,"379 of 3146"
"Bryan County, Georgia",13029,33.1,7740,"380 of 3146"
"Linn County, Iowa",19113,33.1,49890,"381 of 3146"
"Cheshire County, New Hampshire",33005,33.1,17620,"382 of 3146"
"Lake County, South Dakota",46079,33.1,2897,"383 of 3146"
"Prince Georges County, Maryland",24033,33.1,203856,"384 of 3146"
"Minnehaha County, South Dakota",46099,33.1,40984,"385 of 3146"
"Lafayette Parish, Louisiana",22055,33.0,53472,"386 of 3146"
"Warren County, New Jersey",34041,33.0,24963,"387 of 3146"
"Gloucester County, New Jersey",34015,33.0,66304,"388 of 3146"
"Marquette County, Michigan",26103,32.9,14648,"389 of 3146"
"Portage County, Wisconsin",55097,32.9,14932,"390 of 3146"
"Cape May County, New Jersey",34009,32.8,22910,"391 of 3146"
"Snohomish County, Washington",53061,32.8,181718,"392 of 3146"
"Maricopa County, Arizona",04013,32.7,941317,"393 of 3146"
"Johnson County, Indiana",18081,32.7,33485,"394 of 3146"
"Columbia County, New York",36021,32.7,14889,"395 of 3146"
"Pitt County, North Carolina",37147,32.7,35418,"396 of 3146"
"Transylvania County, North Carolina",37175,32.6,8368,"397 of 3146"
"Houghton County, Michigan",26061,32.6,6904,"398 of 3146"
"Petroleum County, Montana",30069,32.6,114,"399 of 3146"
"Belknap County, New Hampshire",33001,32.6,14687,"400 of 3146"
"Los Angeles County, California",06037,32.5,2241079,"401 of 3146"
"Cuyahoga County, Ohio",39035,32.5,284708,"402 of 3146"
"Custer County, Colorado",08027,32.5,1240,"403 of 3146"
"York County, Maine",23031,32.5,48853,"404 of 3146"
"Summit County, Ohio",39153,32.5,123423,"405 of 3146"
"Camden County, New Jersey",34007,32.5,113085,"406 of 3146"
"Ulster County, New York",36111,32.5,42247,"407 of 3146"
"Wallace County, Kansas",20199,32.4,347,"408 of 3146"
"Randall County, Texas",48381,32.4,28659,"409 of 3146"
"Broward County, Florida",12011,32.4,441489,"410 of 3146"
"Calvert County, Maryland",24009,32.4,20269,"411 of 3146"
"Wilson County, Tennessee",47189,32.4,30399,"412 of 3146"
"Pima County, Arizona",04019,32.4,222733,"413 of 3146"
"Wayne County, Nebraska",31179,32.4,1727,"414 of 3146"
"DeKalb County, Illinois",17037,32.3,19856,"415 of 3146"
"Lake County, Colorado",08065,32.3,1799,"416 of 3146"
"Eau Claire County, Wisconsin",55035,32.3,21183,"417 of 3146"
"Kittitas County, Washington",53037,32.3,9008,"418 of 3146"
"Cabarrus County, North Carolina",37025,32.3,44201,"419 of 3146"
