Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Patrick County, Virginia",51141,15.2,2063,"2376 of 3146"
"Toole County, Montana",30101,15.2,546,"2377 of 3146"
"Benewah County, Idaho",16009,15.2,987,"2378 of 3146"
"Imperial County, California",06025,15.2,16760,"2379 of 3146"
"Spencer County, Indiana",18147,15.2,2188,"2380 of 3146"
"Wilbarger County, Texas",48487,15.2,1346,"2381 of 3146"
"Liberty County, Montana",30051,15.2,264,"2382 of 3146"
"Breathitt County, Kentucky",21025,15.2,1399,"2383 of 3146"
"Modoc County, California",06049,15.2,1024,"2384 of 3146"
"Tippah County, Mississippi",28139,15.2,2176,"2385 of 3146"
"Nolan County, Texas",48353,15.2,1443,"2386 of 3146"
"Marion County, Illinois",17121,15.2,3979,"2387 of 3146"
"Dade County, Georgia",13083,15.2,1685,"2388 of 3146"
"Ware County, Georgia",13299,15.2,3710,"2389 of 3146"
"Graham County, Arizona",04009,15.2,3592,"2390 of 3146"
"Hansford County, Texas",48195,15.1,511,"2391 of 3146"
"Power County, Idaho",16077,15.1,751,"2392 of 3146"
"Marquette County, Wisconsin",55077,15.1,1732,"2393 of 3146"
"Todd County, Minnesota",27153,15.1,2553,"2394 of 3146"
"Irwin County, Georgia",13155,15.1,943,"2395 of 3146"
"Randolph County, Missouri",29175,15.1,2597,"2396 of 3146"
"Taylor County, Wisconsin",55119,15.1,2129,"2397 of 3146"
"Cass County, Illinois",17017,15.1,1284,"2398 of 3146"
"Wayne County, West Virginia",54099,15.1,4361,"2399 of 3146"
"Hempstead County, Arkansas",05057,15.1,2162,"2400 of 3146"
"Sequatchie County, Tennessee",47153,15.1,1619,"2401 of 3146"
"Clarendon County, South Carolina",45027,15.1,3658,"2402 of 3146"
"Jasper County, Mississippi",28061,15.1,1712,"2403 of 3146"
"Early County, Georgia",13099,15.1,1029,"2404 of 3146"
"Clearfield County, Pennsylvania",42033,15.1,8912,"2405 of 3146"
"Rockingham County, North Carolina",37157,15.1,9864,"2406 of 3146"
"Alleghany County and Clifton Forge City, Virginia",51005,15.0,1688,"2407 of 3146"
"Sherman County, Texas",48421,15.0,312,"2408 of 3146"
"Yuma County, Arizona",04027,15.0,19912,"2409 of 3146"
"Carroll County, Virginia",51035,15.0,3340,"2410 of 3146"
"Irion County, Texas",48235,15.0,156,"2411 of 3146"
"Sioux County, North Dakota",38085,15.0,353,"2412 of 3146"
"Hardin County, Tennessee",47071,15.0,2785,"2413 of 3146"
"Colusa County, California",06011,15.0,2052,"2414 of 3146"
"Pocahontas County, Iowa",19151,15.0,731,"2415 of 3146"
"Wise County, Virginia",51195,15.0,4124,"2416 of 3146"
"Clay County, Illinois",17025,15.0,1398,"2417 of 3146"
"Atoka County, Oklahoma",40005,15.0,1443,"2418 of 3146"
"Talladega County, Alabama",01121,15.0,8377,"2419 of 3146"
"San Juan County, New Mexico",35045,14.9,12193,"2420 of 3146"
"Braxton County, West Virginia",54007,14.9,1562,"2421 of 3146"
"Mineral County, Nevada",32021,14.9,485,"2422 of 3146"
"Tazewell County, Virginia",51185,14.9,4550,"2423 of 3146"
"Lenoir County, North Carolina",37107,14.9,5912,"2424 of 3146"
"Pointe Coupee Parish, Louisiana",22077,14.9,2294,"2425 of 3146"
"Hertford County, North Carolina",37091,14.9,2484,"2426 of 3146"
"Brown County, Ohio",39015,14.9,4530,"2427 of 3146"
"Carlisle County, Kentucky",21039,14.9,500,"2428 of 3146"
"Potter County, Texas",48375,14.9,11275,"2429 of 3146"
"Ralls County, Missouri",29173,14.9,1084,"2430 of 3146"
"Lawrence County, Illinois",17101,14.9,1764,"2431 of 3146"
"Louisa County, Iowa",19115,14.9,1148,"2432 of 3146"
"Cumberland County, Virginia",51049,14.9,1057,"2433 of 3146"
"Shannon County, Missouri",29203,14.9,871,"2434 of 3146"
"Wheeler County, Oregon",41069,14.9,163,"2435 of 3146"
"Fountain County, Indiana",18045,14.9,1712,"2436 of 3146"
"Pine County, Minnesota",27115,14.9,3171,"2436 of 3146"
"Columbiana County, Ohio",39029,14.9,11040,"2438 of 3146"
"Knott County, Kentucky",21119,14.9,1570,"2439 of 3146"
"Panola County, Mississippi",28107,14.9,3362,"2440 of 3146"
"Grant County, Kansas",20067,14.9,655,"2441 of 3146"
"Columbia County, Florida",12023,14.9,7198,"2442 of 3146"
"Greene County, Indiana",18055,14.9,3381,"2443 of 3146"
"Lawrence County, Ohio",39087,14.9,6297,"2444 of 3146"
"Vance County, North Carolina",37181,14.8,4463,"2445 of 3146"
"Marshall County, Oklahoma",40095,14.8,1683,"2446 of 3146"
"Torrance County, New Mexico",35057,14.8,1598,"2447 of 3146"
"Limestone County, Texas",48293,14.8,2402,"2448 of 3146"
"Fayette County, West Virginia",54019,14.8,4658,"2449 of 3146"
"De Soto Parish, Louisiana",22031,14.8,2744,"2450 of 3146"
"Hopewell City, Virginia",51670,14.8,2199,"2451 of 3146"
"Del Norte County, California",06015,14.8,2907,"2452 of 3146"
"Unicoi County, Tennessee",47171,14.8,1981,"2453 of 3146"
"Pocahontas County, West Virginia",54075,14.8,956,"2454 of 3146"
"Stonewall County, Texas",48433,14.8,146,"2455 of 3146"
"Nottoway County, Virginia",51135,14.8,1627,"2456 of 3146"
"Galax City, Virginia",51640,14.8,702,"2457 of 3146"
"Haralson County, Georgia",13143,14.8,2938,"2458 of 3146"
"Livingston County, Illinois",17105,14.8,3752,"2459 of 3146"
"St. Landry Parish, Louisiana",22097,14.8,7937,"2460 of 3146"
"Garvin County, Oklahoma",40049,14.7,2751,"2461 of 3146"
"Vermilion County, Illinois",17183,14.7,7791,"2462 of 3146"
"Covington County, Mississippi",28031,14.7,1836,"2463 of 3146"
"Kearny County, Kansas",20093,14.7,340,"2464 of 3146"
"Bullitt County, Kentucky",21029,14.7,8235,"2465 of 3146"
"Audrain County, Missouri",29007,14.7,2589,"2466 of 3146"
"Bedford County, Pennsylvania",42009,14.7,5199,"2467 of 3146"
"Madison County, Texas",48313,14.7,1435,"2468 of 3146"
"Crane County, Texas",48103,14.7,427,"2469 of 3146"
"Marion County, Texas",48315,14.7,1115,"2470 of 3146"
"Dallas County, Alabama",01047,14.7,3854,"2471 of 3146"
"Charles City County, Virginia",51036,14.7,803,"2472 of 3146"
"Jefferson County, Oklahoma",40067,14.7,621,"2473 of 3146"
"Winston County, Mississippi",28159,14.7,1876,"2474 of 3146"
"Mille Lacs County, Minnesota",27095,14.7,2615,"2475 of 3146"
"Lowndes County, Alabama",01085,14.7,1037,"2476 of 3146"
"Ohio County, Indiana",18115,14.7,643,"2477 of 3146"
"Kanabec County, Minnesota",27065,14.7,1682,"2478 of 3146"
"Kemper County, Mississippi",28069,14.7,991,"2479 of 3146"
"Craig County, Oklahoma",40035,14.7,1482,"2480 of 3146"
"Forest County, Wisconsin",55041,14.7,946,"2481 of 3146"
"Gordon County, Georgia",13129,14.7,5598,"2482 of 3146"
"Marshall County, Tennessee",47117,14.7,3334,"2483 of 3146"
"Kings County, California",06031,14.7,13630,"2484 of 3146"
"Russell County, Kentucky",21207,14.7,1843,"2485 of 3146"
"Webster County, Georgia",13307,14.7,275,"2486 of 3146"
"Duchesne County, Utah",49013,14.7,1726,"2487 of 3146"
"Le Flore County, Oklahoma",40079,14.6,4948,"2488 of 3146"
"Caldwell County, Texas",48055,14.6,3995,"2489 of 3146"
"Smyth County, Virginia",51173,14.6,3292,"2490 of 3146"
"Lee County, Texas",48287,14.6,1696,"2491 of 3146"
"Tulare County, California",06107,14.6,39697,"2492 of 3146"
"Ray County, Missouri",29177,14.6,2319,"2493 of 3146"
"Barry County, Missouri",29009,14.6,3634,"2494 of 3146"
"Harrison County, Kentucky",21097,14.6,1891,"2495 of 3146"
"Hidalgo County, New Mexico",35023,14.6,434,"2496 of 3146"
"Sheridan County, North Dakota",38083,14.6,159,"2497 of 3146"
"Guernsey County, Ohio",39059,14.6,3992,"2498 of 3146"
"Nevada County, Arkansas",05099,14.6,853,"2499 of 3146"
"Laclede County, Missouri",29105,14.6,3530,"2500 of 3146"
"Oregon County, Missouri",29149,14.6,1095,"2501 of 3146"
"Colleton County, South Carolina",45029,14.6,3810,"2502 of 3146"
"Jackson County, Wisconsin",55053,14.6,2111,"2503 of 3146"
"Madera County, California",06039,14.6,14192,"2504 of 3146"
"Decatur County, Tennessee",47039,14.5,1219,"2505 of 3146"
"Warren County, Tennessee",47177,14.5,4057,"2506 of 3146"
"Copiah County, Mississippi",28029,14.5,2752,"2507 of 3146"
"Pittsylvania County, Virginia",51143,14.5,6574,"2508 of 3146"
"Van Buren County, Arkansas",05141,14.5,1777,"2509 of 3146"
"Ottawa County, Oklahoma",40115,14.5,2977,"2510 of 3146"
"St. Martin Parish, Louisiana",22099,14.5,5217,"2511 of 3146"
"Hardy County, West Virginia",54031,14.5,1464,"2512 of 3146"
"Lewis County, West Virginia",54041,14.5,1681,"2513 of 3146"
"Bath County, Kentucky",21011,14.5,1188,"2514 of 3146"
"Summers County, West Virginia",54089,14.5,1442,"2515 of 3146"
"Ouachita County, Arkansas",05103,14.5,2370,"2516 of 3146"
"Taylor County, Iowa",19173,14.5,617,"2517 of 3146"
"Jackson County, Ohio",39079,14.5,3210,"2518 of 3146"
"Juniata County, Pennsylvania",42067,14.5,2500,"2519 of 3146"
"Laurel County, Kentucky",21125,14.4,6017,"2520 of 3146"
"Van Buren County, Iowa",19177,14.4,725,"2521 of 3146"
"Halifax County, North Carolina",37083,14.4,5222,"2522 of 3146"
"Lyon County, Nevada",32019,14.4,5645,"2523 of 3146"
"Cross County, Arkansas",05037,14.4,1661,"2524 of 3146"
"Somerset County, Maryland",24039,14.4,2456,"2525 of 3146"
"Mason County, West Virginia",54053,14.4,2780,"2526 of 3146"
"Atascosa County, Texas",48013,14.4,4533,"2527 of 3146"
"Smith County, Tennessee",47159,14.4,1965,"2528 of 3146"
"Hocking County, Ohio",39073,14.4,2880,"2529 of 3146"
"Huron County, Ohio",39077,14.4,5679,"2530 of 3146"
"Branch County, Michigan",26023,14.4,4367,"2531 of 3146"
"Perry County, Kentucky",21193,14.4,2699,"2532 of 3146"
"Walthall County, Mississippi",28147,14.4,1397,"2533 of 3146"
"Sequoyah County, Oklahoma",40135,14.4,4089,"2534 of 3146"
"Liberty County, Florida",12077,14.4,858,"2535 of 3146"
"Crawford County, Ohio",39033,14.4,4235,"2536 of 3146"
"Monroe County, Kentucky",21171,14.4,1066,"2537 of 3146"
"Henderson County, Tennessee",47077,14.4,2795,"2538 of 3146"
"Lamb County, Texas",48279,14.4,1196,"2539 of 3146"
"Randolph County, Indiana",18135,14.3,2484,"2540 of 3146"
"Morris County, Texas",48343,14.3,1233,"2541 of 3146"
"Bradley County, Arkansas",05011,14.3,1078,"2542 of 3146"
"Garfield County, Montana",30033,14.3,105,"2543 of 3146"
"Mayes County, Oklahoma",40097,14.3,4006,"2544 of 3146"
"Seminole County, Oklahoma",40133,14.3,2343,"2545 of 3146"
"Gates County, North Carolina",37073,14.3,1196,"2546 of 3146"
"Lawrence County, Tennessee",47099,14.3,4175,"2547 of 3146"
"Adams County, Washington",53001,14.3,1532,"2548 of 3146"
"Leake County, Mississippi",28079,14.3,2102,"2549 of 3146"
"St. Francois County, Missouri",29187,14.3,6739,"2550 of 3146"
"Ashtabula County, Ohio",39007,14.3,9795,"2551 of 3146"
"Dodge County, Georgia",13091,14.3,2123,"2552 of 3146"
"Pushmataha County, Oklahoma",40127,14.3,1123,"2553 of 3146"
"Humphreys County, Tennessee",47085,14.3,1861,"2554 of 3146"
"Moore County, Texas",48341,14.3,1779,"2555 of 3146"
"Jasper County, Indiana",18073,14.3,3213,"2556 of 3146"
"Crawford County, Iowa",19047,14.3,1584,"2557 of 3146"
"Calhoun County, Illinois",17013,14.2,497,"2558 of 3146"
"Dawson County, Texas",48115,14.2,1151,"2559 of 3146"
"Scotland County, Missouri",29199,14.2,439,"2560 of 3146"
"Madison County, Arkansas",05087,14.2,1590,"2561 of 3146"
"Hale County, Alabama",01065,14.2,1411,"2562 of 3146"
"Vermillion County, Indiana",18165,14.2,1552,"2563 of 3146"
"Alexander County, North Carolina",37003,14.2,3812,"2564 of 3146"
"Calhoun County, Texas",48057,14.2,2043,"2565 of 3146"
"Jasper County, Georgia",13159,14.2,1370,"2566 of 3146"
"Knox County, Kentucky",21121,14.2,2984,"2567 of 3146"
"Cibola County, New Mexico",35006,14.2,2574,"2568 of 3146"
"Osceola County, Michigan",26133,14.2,2313,"2569 of 3146"
"Vermilion Parish, Louisiana",22113,14.2,5656,"2570 of 3146"
"Bland County, Virginia",51021,14.2,701,"2571 of 3146"
"Simpson County, Kentucky",21213,14.2,1740,"2572 of 3146"
"Cherokee County, South Carolina",45021,14.2,5465,"2573 of 3146"
"Sanilac County, Michigan",26151,14.2,4158,"2574 of 3146"
"Glenn County, California",06021,14.2,2541,"2575 of 3146"
"Jefferson Davis County, Mississippi",28065,14.1,1125,"2576 of 3146"
"Stokes County, North Carolina",37169,14.1,4754,"2577 of 3146"
"Tyler County, West Virginia",54095,14.1,911,"2578 of 3146"
"Trimble County, Kentucky",21223,14.1,849,"2579 of 3146"
"Pickens County, Alabama",01107,14.1,2047,"2580 of 3146"
"San Saba County, Texas",48411,14.1,594,"2581 of 3146"
"Pendleton County, West Virginia",54071,14.1,745,"2582 of 3146"
"Pike County, Indiana",18125,14.1,1230,"2583 of 3146"
"Crisp County, Georgia",13081,14.1,2136,"2584 of 3146"
"Polk County, Arkansas",05113,14.1,1981,"2585 of 3146"
"Okmulgee County, Oklahoma",40111,14.1,3628,"2586 of 3146"
"Milam County, Texas",48331,14.1,2350,"2587 of 3146"
"Concordia Parish, Louisiana",22029,14.1,1870,"2588 of 3146"
"Minidoka County, Idaho",16067,14.1,1821,"2589 of 3146"
"Brown County, Illinois",17009,14.1,684,"2590 of 3146"
"Desha County, Arkansas",05041,14.1,1100,"2591 of 3146"
"Woodruff County, Arkansas",05147,14.0,655,"2592 of 3146"
"Leon County, Texas",48289,14.0,1681,"2593 of 3146"
"Madison County, Florida",12079,14.0,1906,"2594 of 3146"
"McDuffie County, Georgia",13189,14.0,1979,"2595 of 3146"
"Hutchinson County, Texas",48233,14.0,1959,"2596 of 3146"
"Jackson Parish, Louisiana",22049,14.0,1574,"2597 of 3146"
"Crockett County, Texas",48105,14.0,332,"2598 of 3146"
"Miller County, Georgia",13201,14.0,575,"2599 of 3146"
"San Augustine County, Texas",48405,14.0,853,"2600 of 3146"
"Jackson County, Alabama",01071,14.0,5175,"2601 of 3146"
"Missaukee County, Michigan",26113,14.0,1460,"2602 of 3146"
"Franklin County, Alabama",01059,14.0,2907,"2603 of 3146"
"Montgomery County, Missouri",29139,14.0,1143,"2604 of 3146"
"Winn Parish, Louisiana",22127,13.9,1420,"2605 of 3146"
"Butler County, Kentucky",21031,13.9,1253,"2606 of 3146"
"Grady County, Georgia",13131,13.9,2359,"2607 of 3146"
"Massac County, Illinois",17127,13.9,1396,"2608 of 3146"
"Henry County, Virginia",51089,13.9,5268,"2609 of 3146"
"Attala County, Mississippi",28007,13.9,1710,"2610 of 3146"
"Rush County, Indiana",18139,13.9,1602,"2611 of 3146"
"Gray County, Texas",48179,13.9,2058,"2612 of 3146"
"Edwards County, Illinois",17047,13.9,628,"2613 of 3146"
"Clay County, Tennessee",47027,13.9,777,"2614 of 3146"
"Iberville Parish, Louisiana",22047,13.9,3202,"2615 of 3146"
"St. Clair County, Missouri",29185,13.9,968,"2616 of 3146"
"Red River Parish, Louisiana",22081,13.9,804,"2617 of 3146"
"McIntosh County, Oklahoma",40091,13.9,2004,"2618 of 3146"
"Garza County, Texas",48169,13.9,626,"2619 of 3146"
"Stone County, Arkansas",05137,13.9,1279,"2620 of 3146"
"Cullman County, Alabama",01043,13.9,8004,"2621 of 3146"
"Adams County, Wisconsin",55001,13.9,2231,"2622 of 3146"
"Randolph County, Arkansas",05121,13.8,1694,"2623 of 3146"
"DeKalb County, Missouri",29063,13.8,1298,"2624 of 3146"
"Crockett County, Tennessee",47033,13.8,1360,"2625 of 3146"
"Mississippi County, Arkansas",05093,13.8,3771,"2626 of 3146"
"Morrow County, Ohio",39117,13.8,3347,"2626 of 3146"
"Grant County, West Virginia",54023,13.8,1185,"2628 of 3146"
"Emporia City, Virginia",51595,13.8,486,"2629 of 3146"
"Caldwell Parish, Louisiana",22021,13.8,933,"2630 of 3146"
"Dunklin County, Missouri",29069,13.8,2757,"2631 of 3146"
"Jackson County, Kentucky",21109,13.8,1296,"2632 of 3146"
"Columbus County, North Carolina",37047,13.8,5442,"2633 of 3146"
"Shelby County, Texas",48419,13.8,2241,"2634 of 3146"
"Wadena County, Minnesota",27159,13.8,1276,"2635 of 3146"
"Trousdale County, Tennessee",47169,13.8,993,"2636 of 3146"
"Marshall County, Mississippi",28093,13.8,3374,"2637 of 3146"
"Merced County, California",06047,13.8,22118,"2638 of 3146"
"Phillips County, Arkansas",05107,13.8,1653,"2639 of 3146"
"George County, Mississippi",28039,13.8,2145,"2640 of 3146"
"Yalobusha County, Mississippi",28161,13.8,1182,"2641 of 3146"
"Decatur County, Georgia",13087,13.8,2444,"2642 of 3146"
"Northampton County, North Carolina",37131,13.8,2065,"2643 of 3146"
"Wilkes County, Georgia",13317,13.8,954,"2644 of 3146"
"Catahoula Parish, Louisiana",22025,13.8,917,"2645 of 3146"
"Juneau County, Wisconsin",55057,13.7,2675,"2646 of 3146"
"Grayson County, Virginia",51077,13.7,1649,"2647 of 3146"
"Noble County, Indiana",18113,13.7,4330,"2648 of 3146"
"Martin County, Indiana",18101,13.7,978,"2649 of 3146"
"Cotton County, Oklahoma",40033,13.7,545,"2650 of 3146"
"Rains County, Texas",48379,13.7,1199,"2651 of 3146"
"Polk County, Georgia",13233,13.7,3773,"2652 of 3146"
"Page County, Virginia",51139,13.7,2384,"2653 of 3146"
"Hawkins County, Tennessee",47073,13.7,5613,"2654 of 3146"
"Sampson County, North Carolina",37163,13.7,5828,"2655 of 3146"
"Robeson County, North Carolina",37155,13.7,11719,"2656 of 3146"
"Malheur County, Oregon",41045,13.7,2707,"2657 of 3146"
"Reynolds County, Missouri",29179,13.7,633,"2658 of 3146"
"Wilkinson County, Mississippi",28157,13.7,853,"2659 of 3146"
"Hardeman County, Texas",48197,13.7,378,"2660 of 3146"
"Cameron County, Pennsylvania",42023,13.7,485,"2661 of 3146"
"Montmorency County, Michigan",26119,13.7,1010,"2662 of 3146"
"Stevens County, Kansas",20189,13.7,481,"2663 of 3146"
"Ohio County, Kentucky",21183,13.6,2234,"2664 of 3146"
"La Salle Parish, Louisiana",22059,13.6,1365,"2665 of 3146"
"Bertie County, North Carolina",37015,13.6,1964,"2666 of 3146"
"Lewis County, Missouri",29111,13.6,886,"2667 of 3146"
"Cedar County, Missouri",29039,13.6,1325,"2668 of 3146"
"Lea County, New Mexico",35025,13.6,5740,"2669 of 3146"
"Yukon-Koyukuk Census Area, Alaska",02290,13.6,468,"2670 of 3146"
"Howard County, Arkansas",05061,13.6,1192,"2671 of 3146"
"Brunswick County, Virginia",51025,13.6,1670,"2672 of 3146"
"Iberia Parish, Louisiana",22045,13.6,6344,"2673 of 3146"
"Fulton County, Pennsylvania",42057,13.6,1426,"2674 of 3146"
"Edgecombe County, North Carolina",37065,13.6,4928,"2675 of 3146"
"Dimmit County, Texas",48127,13.6,877,"2676 of 3146"
"Wheeler County, Georgia",13309,13.6,735,"2677 of 3146"
"Love County, Oklahoma",40085,13.5,911,"2678 of 3146"
"Greenlee County, Arizona",04011,13.5,791,"2679 of 3146"
"Marion County, South Carolina",45067,13.5,2920,"2680 of 3146"
"Cook County, Georgia",13075,13.5,1525,"2681 of 3146"
"Montgomery County, Arkansas",05097,13.5,902,"2682 of 3146"
"McLean County, Kentucky",21149,13.5,870,"2683 of 3146"
"Monroe County, Alabama",01099,13.5,1983,"2684 of 3146"
"Jack County, Texas",48237,13.5,817,"2685 of 3146"
"Tuscola County, Michigan",26157,13.5,5110,"2686 of 3146"
"Texas County, Missouri",29215,13.5,2470,"2687 of 3146"
"Blackford County, Indiana",18009,13.5,1145,"2688 of 3146"
"Gladwin County, Michigan",26051,13.5,2535,"2689 of 3146"
"McCurtain County, Oklahoma",40089,13.4,2940,"2690 of 3146"
"Highland County, Ohio",39071,13.4,3947,"2691 of 3146"
"Jim Hogg County, Texas",48247,13.4,408,"2692 of 3146"
"Daggett County, Utah",49009,13.4,54,"2693 of 3146"
"Monroe County, Tennessee",47123,13.4,4373,"2694 of 3146"
"Yazoo County, Mississippi",28163,13.4,2649,"2695 of 3146"
"Marion County, Georgia",13197,13.4,812,"2696 of 3146"
"Fulton County, Kentucky",21075,13.4,583,"2697 of 3146"
"Washington County, Indiana",18175,13.4,2591,"2698 of 3146"
"Tyler County, Texas",48457,13.4,2026,"2699 of 3146"
"Banks County, Georgia",13011,13.4,1736,"2700 of 3146"
"Chester County, South Carolina",45023,13.4,3012,"2701 of 3146"
"Gilchrist County, Florida",12041,13.4,1642,"2702 of 3146"
"Choctaw County, Oklahoma",40023,13.4,1357,"2703 of 3146"
"Union County, Mississippi",28145,13.4,2546,"2704 of 3146"
"Upson County, Georgia",13293,13.4,2394,"2705 of 3146"
"Logan County, Arkansas",05083,13.3,2043,"2706 of 3146"
"Cass County, Indiana",18017,13.3,3443,"2707 of 3146"
"Butler County, Missouri",29023,13.3,3904,"2708 of 3146"
"Montcalm County, Michigan",26117,13.3,5882,"2709 of 3146"
"Schley County, Georgia",13249,13.3,452,"2710 of 3146"
"Sabine Parish, Louisiana",22085,13.3,2206,"2711 of 3146"
"Randolph County, Illinois",17157,13.3,3124,"2712 of 3146"
"Scott County, Virginia",51169,13.3,2188,"2713 of 3146"
"Cumberland County, Kentucky",21057,13.3,649,"2714 of 3146"
"Morgan County, Missouri",29141,13.3,1904,"2715 of 3146"
"Chambers County, Alabama",01017,13.3,3163,"2716 of 3146"
"Acadia Parish, Louisiana",22001,13.3,5478,"2717 of 3146"
"Hot Spring County, Arkansas",05059,13.3,3227,"2718 of 3146"
"Stoddard County, Missouri",29207,13.3,2728,"2719 of 3146"
"Fayette County, Indiana",18041,13.3,2153,"2720 of 3146"
"Carroll County, Ohio",39019,13.3,2608,"2721 of 3146"
"Baker County, Florida",12003,13.2,2525,"2722 of 3146"
"Mahnomen County, Minnesota",27087,13.2,443,"2723 of 3146"
"Burke County, Georgia",13033,13.2,1950,"2724 of 3146"
"Northwest Arctic Borough, Alaska",02188,13.2,557,"2725 of 3146"
"Todd County, Kentucky",21219,13.2,1078,"2725 of 3146"
"Pendleton County, Kentucky",21191,13.2,1332,"2727 of 3146"
"Daviess County, Indiana",18027,13.2,2717,"2728 of 3146"
"Bracken County, Kentucky",21023,13.2,756,"2729 of 3146"
"Richland Parish, Louisiana",22083,13.2,1818,"2730 of 3146"
"Grundy County, Tennessee",47061,13.2,1240,"2731 of 3146"
"Adams County, Ohio",39001,13.2,2502,"2732 of 3146"
"Tattnall County, Georgia",13267,13.2,2354,"2733 of 3146"
"Green County, Kentucky",21087,13.2,1045,"2734 of 3146"
"Coshocton County, Ohio",39031,13.2,3334,"2735 of 3146"
"Itawamba County, Mississippi",28057,13.2,2068,"2736 of 3146"
"Crosby County, Texas",48107,13.2,493,"2737 of 3146"
"White Pine County, Nevada",32033,13.2,929,"2738 of 3146"
"Pulaski County, Georgia",13235,13.2,1098,"2739 of 3146"
"Polk County, Texas",48373,13.1,4618,"2740 of 3146"
"Meigs County, Ohio",39105,13.1,2166,"2741 of 3146"
"Owen County, Indiana",18119,13.1,1960,"2742 of 3146"
"Blount County, Alabama",01009,13.1,5210,"2743 of 3146"
"Henry County, Kentucky",21103,13.1,1426,"2744 of 3146"
"Gonzales County, Texas",48177,13.1,1748,"2745 of 3146"
"Crittenden County, Kentucky",21055,13.1,832,"2746 of 3146"
"Roane County, West Virginia",54087,13.1,1322,"2747 of 3146"
"Izard County, Arkansas",05065,13.1,1332,"2748 of 3146"
"Pope County, Illinois",17151,13.1,435,"2749 of 3146"
"Pike County, Kentucky",21195,13.0,5514,"2750 of 3146"
"Coffee County, Georgia",13069,13.0,3675,"2751 of 3146"
"Concho County, Texas",48095,13.0,342,"2752 of 3146"
"Emanuel County, Georgia",13107,13.0,1938,"2753 of 3146"
"Miami County, Indiana",18103,13.0,3249,"2754 of 3146"
"DeKalb County, Alabama",01049,13.0,6246,"2755 of 3146"
"DeBaca County, New Mexico",35011,13.0,149,"2756 of 3146"
"Candler County, Georgia",13043,13.0,936,"2757 of 3146"
"Houston County, Tennessee",47083,13.0,748,"2758 of 3146"
"Lincoln County, Kentucky",21137,13.0,2203,"2759 of 3146"
"Dakota County, Nebraska",31043,13.0,1619,"2760 of 3146"
"Benton County, Missouri",29015,13.0,1920,"2761 of 3146"
"Hettinger County, North Dakota",38041,13.0,248,"2762 of 3146"
"Metcalfe County, Kentucky",21169,13.0,913,"2763 of 3146"
"Morehouse Parish, Louisiana",22067,13.0,2213,"2764 of 3146"
"Wayne County, Georgia",13305,13.0,2595,"2765 of 3146"
"Lassen County, California",06035,12.9,2928,"2766 of 3146"
"Mohave County, Arizona",04015,12.9,20505,"2767 of 3146"
"Graham County, North Carolina",37075,12.9,786,"2768 of 3146"
"Grant County, Kentucky",21081,12.9,2082,"2769 of 3146"
"Jasper County, Texas",48241,12.9,3106,"2770 of 3146"
"Alexander County, Illinois",17003,12.9,580,"2771 of 3146"
"Hughes County, Oklahoma",40063,12.9,1198,"2772 of 3146"
"Baker County, Georgia",13007,12.9,290,"2773 of 3146"
"Trinity County, Texas",48455,12.9,1364,"2774 of 3146"
"Dallas County, Missouri",29059,12.9,1484,"2775 of 3146"
"Fleming County, Kentucky",21069,12.9,1268,"2776 of 3146"
"Winston County, Alabama",01133,12.8,2201,"2777 of 3146"
"Bienville Parish, Louisiana",22013,12.8,1213,"2778 of 3146"
"Coosa County, Alabama",01037,12.8,1059,"2779 of 3146"
"Yell County, Arkansas",05149,12.8,1858,"2780 of 3146"
"Madison Parish, Louisiana",22065,12.8,963,"2781 of 3146"
"Greene County, Illinois",17061,12.8,1195,"2782 of 3146"
"Overton County, Tennessee",47133,12.8,1985,"2783 of 3146"
"Sevier County, Arkansas",05133,12.8,1367,"2784 of 3146"
"Humphreys County, Mississippi",28053,12.8,691,"2785 of 3146"
"Marion County, Tennessee",47115,12.8,2602,"2786 of 3146"
"Vinton County, Ohio",39163,12.8,1169,"2787 of 3146"
"Casey County, Kentucky",21045,12.8,1406,"2788 of 3146"
"Clark County, Missouri",29045,12.8,612,"2789 of 3146"
"Conecuh County, Alabama",01035,12.8,1128,"2790 of 3146"
"Claiborne Parish, Louisiana",22027,12.8,1527,"2791 of 3146"
"Colquitt County, Georgia",13071,12.8,3764,"2792 of 3146"
"Marion County, Alabama",01093,12.8,2715,"2793 of 3146"
"Pulaski County, Indiana",18131,12.8,1112,"2794 of 3146"
"Cherokee County, Alabama",01019,12.8,2407,"2795 of 3146"
"Pemiscot County, Missouri",29155,12.7,1384,"2796 of 3146"
"Sussex County, Virginia",51183,12.7,1069,"2797 of 3146"
"Chilton County, Alabama",01021,12.7,3823,"2798 of 3146"
"East Feliciana Parish, Louisiana",22037,12.7,1814,"2799 of 3146"
"Yoakum County, Texas",48501,12.7,619,"2800 of 3146"
"Monroe County, Arkansas",05095,12.7,639,"2801 of 3146"
"Maverick County, Texas",48323,12.7,4169,"2802 of 3146"
"Dade County, Missouri",29057,12.7,693,"2803 of 3146"
"Wayne County, Iowa",19185,12.7,553,"2804 of 3146"
"Washington County, Alabama",01129,12.7,1437,"2805 of 3146"
