Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Adams County, Ohio",39001,36.2,9941,"2825 of 3146"
"Malheur County, Oregon",41045,36.2,9655,"2824 of 3146"
"Jefferson County, Oklahoma",40067,36.2,2172,"2823 of 3146"
"Falls County, Texas",48145,36.2,5622,"2822 of 3146"
"Mississippi County, Arkansas",05093,36.1,14887,"2821 of 3146"
"Crowley County, Colorado",08025,36.1,1735,"2820 of 3146"
"Morgan County, Tennessee",47129,36.1,6694,"2819 of 3146"
"Bladen County, North Carolina",37017,36.1,11876,"2818 of 3146"
"Barren County, Kentucky",21009,36.1,15441,"2817 of 3146"
"Nacogdoches County, Texas",48347,36.0,21537,"2816 of 3146"
"Emanuel County, Georgia",13107,36.0,7799,"2815 of 3146"
"McDonald County, Missouri",29119,36.0,8095,"2814 of 3146"
"Hart County, Kentucky",21099,36.0,6608,"2813 of 3146"
"Butler County, Missouri",29023,36.0,15014,"2812 of 3146"
"Lenoir County, North Carolina",37107,36.0,19940,"2811 of 3146"
"Quay County, New Mexico",35037,36.0,2930,"2810 of 3146"
"Perry County, Tennessee",47135,35.9,2797,"2809 of 3146"
"Wilkes County, Georgia",13317,35.9,3481,"2808 of 3146"
"Potter County, Texas",48375,35.9,40401,"2807 of 3146"
"Seminole County, Oklahoma",40133,35.8,8635,"2806 of 3146"
"Howell County, Missouri",29091,35.8,14126,"2805 of 3146"
"Coal County, Oklahoma",40029,35.8,1961,"2804 of 3146"
"Crittenden County, Arkansas",05035,35.8,17168,"2803 of 3146"
"Scott County, Arkansas",05127,35.8,3680,"2802 of 3146"
"Liberty County, Florida",12077,35.8,2482,"2801 of 3146"
"Morgan County, Missouri",29141,35.8,7100,"2800 of 3146"
"Dade County, Missouri",29057,35.8,2636,"2799 of 3146"
"Rio Arriba County, New Mexico",35039,35.7,13898,"2798 of 3146"
"Jasper County, Mississippi",28061,35.7,5870,"2797 of 3146"
"Sequoyah County, Oklahoma",40135,35.7,14714,"2796 of 3146"
"Webster County, Kentucky",21233,35.7,4507,"2795 of 3146"
"Pushmataha County, Oklahoma",40127,35.6,3910,"2794 of 3146"
"Wirt County, West Virginia",54105,35.6,2064,"2793 of 3146"
"Cocke County, Tennessee",47029,35.6,12502,"2792 of 3146"
"Johnson County, Kentucky",21115,35.6,7855,"2791 of 3146"
"Van Buren County, Arkansas",05141,35.6,5848,"2790 of 3146"
"Rockcastle County, Kentucky",21203,35.6,5848,"2789 of 3146"
"Chaves County, New Mexico",35005,35.6,22479,"2788 of 3146"
"New Madrid County, Missouri",29143,35.6,6103,"2787 of 3146"
"Chattooga County, Georgia",13055,35.6,8101,"2786 of 3146"
"Calhoun County, West Virginia",54013,35.5,2564,"2785 of 3146"
"Atoka County, Oklahoma",40005,35.5,4385,"2784 of 3146"
"Wilbarger County, Texas",48487,35.5,4418,"2783 of 3146"
"Escambia County, Alabama",01053,35.5,12095,"2782 of 3146"
"Meriwether County, Georgia",13199,35.5,7442,"2781 of 3146"
"Watauga County, North Carolina",37189,35.5,17371,"2780 of 3146"
"Bristol City, Virginia",51520,35.4,5877,"2779 of 3146"
"Payne County, Oklahoma",40119,35.4,26081,"2778 of 3146"
"Caddo Parish, Louisiana",22017,35.4,85184,"2777 of 3146"
"San Augustine County, Texas",48405,35.3,2843,"2776 of 3146"
"Calhoun County, Mississippi",28013,35.3,5021,"2775 of 3146"
"Braxton County, West Virginia",54007,35.3,4879,"2774 of 3146"
"Fairfield County, South Carolina",45039,35.3,7869,"2773 of 3146"
"Mora County, New Mexico",35033,35.3,1596,"2772 of 3146"
"Cumberland County, Kentucky",21057,35.3,2322,"2771 of 3146"
