Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Lowndes County, Georgia",13185,34.9,38770,"2737 of 3146"
"Conecuh County, Alabama",01035,34.9,4284,"2736 of 3146"
"Hertford County, North Carolina",37091,34.9,7612,"2735 of 3146"
"Curry County, New Mexico",35009,34.9,16969,"2734 of 3146"
"Marengo County, Alabama",01091,34.8,6636,"2733 of 3146"
"Acadia Parish, Louisiana",22001,34.8,21345,"2732 of 3146"
"Pickens County, Alabama",01107,34.8,6443,"2731 of 3146"
"Sabine County, Texas",48403,34.8,3593,"2730 of 3146"
"Wise County, Virginia",51195,34.8,12301,"2729 of 3146"
"Tishomingo County, Mississippi",28141,34.8,6676,"2728 of 3146"
"Lincoln County, West Virginia",54043,34.8,7222,"2727 of 3146"
"Grady County, Georgia",13131,34.8,8525,"2726 of 3146"
"Scott County, Tennessee",47151,34.7,7446,"2725 of 3146"
"Clare County, Michigan",26035,34.7,10501,"2724 of 3146"
"Custer County, Oklahoma",40039,34.7,9560,"2723 of 3146"
"Bamberg County, South Carolina",45009,34.7,4687,"2722 of 3146"
"Clarke County, Alabama",01025,34.7,8201,"2721 of 3146"
"Fresno County, California",06019,34.7,335832,"2720 of 3146"
"Philadelphia County, Pennsylvania",42101,34.7,532603,"2719 of 3146"
"Northampton County, North Carolina",37131,34.7,6613,"2718 of 3146"
"Kimble County, Texas",48267,34.7,1501,"2717 of 3146"
"Grundy County, Tennessee",47061,34.7,4548,"2716 of 3146"
"Clarendon County, South Carolina",45027,34.7,11263,"2715 of 3146"
"Scioto County, Ohio",39145,34.6,25089,"2714 of 3146"
"Jackson Parish, Louisiana",22049,34.6,5057,"2713 of 3146"
"Decatur County, Georgia",13087,34.6,8819,"2712 of 3146"
"Orleans Parish, Louisiana",22071,34.6,130720,"2711 of 3146"
"Obion County, Tennessee",47131,34.6,10299,"2710 of 3146"
"Nome Census Area, Alaska",02180,34.6,3338,"2709 of 3146"
"Copiah County, Mississippi",28029,34.6,9517,"2708 of 3146"
"Campbell County, Tennessee",47013,34.6,13425,"2707 of 3146"
"Shoshone County, Idaho",16079,34.5,4272,"2706 of 3146"
"Yuma County, Arizona",04027,34.5,70303,"2705 of 3146"
"Winston County, Alabama",01133,34.5,8070,"2704 of 3146"
"Ottawa County, Oklahoma",40115,34.5,10476,"2703 of 3146"
"Marion County, Kentucky",21155,34.5,6335,"2702 of 3146"
"Richmond City, Virginia",51760,34.5,74468,"2701 of 3146"
"Aransas County, Texas",48007,34.4,8285,"2700 of 3146"
"Kern County, California",06029,34.4,295006,"2699 of 3146"
"Dickens County, Texas",48125,34.4,716,"2698 of 3146"
"Jefferson County, Arkansas",05069,34.3,21596,"2697 of 3146"
"Hickman County, Kentucky",21105,34.3,1496,"2696 of 3146"
"Shelby County, Texas",48419,34.3,8616,"2695 of 3146"
"Bertie County, North Carolina",37015,34.3,6195,"2694 of 3146"
"Van Buren County, Tennessee",47175,34.3,1931,"2693 of 3146"
"Bourbon County, Kansas",20011,34.3,4835,"2692 of 3146"
"Hughes County, Oklahoma",40063,34.3,4074,"2691 of 3146"
"McNairy County, Tennessee",47109,34.3,8698,"2690 of 3146"
"Newton County, Texas",48351,34.3,4707,"2689 of 3146"
"Merced County, California",06047,34.2,90824,"2688 of 3146"
"Okmulgee County, Oklahoma",40111,34.2,12713,"2687 of 3146"
"Pulaski County, Kentucky",21199,34.2,21598,"2686 of 3146"
"Washington County, Alabama",01129,34.2,5589,"2685 of 3146"
"Tift County, Georgia",13277,34.2,13163,"2684 of 3146"
"Monroe County, Kentucky",21171,34.2,3580,"2683 of 3146"
"Christian County, Kentucky",21047,34.1,22029,"2682 of 3146"
"Levy County, Florida",12075,34.1,13671,"2681 of 3146"
"Wilkinson County, Georgia",13319,34.1,3030,"2680 of 3146"
"Adair County, Missouri",29001,34.1,7756,"2679 of 3146"
"McIntosh County, Oklahoma",40091,34.0,6596,"2678 of 3146"
"Clay County, Arkansas",05021,34.0,5002,"2677 of 3146"
"Wyoming County, West Virginia",54109,34.0,7151,"2676 of 3146"
"Hyde County, North Carolina",37095,34.0,1572,"2675 of 3146"
"Burke County, Georgia",13033,34.0,7560,"2674 of 3146"
"Morgan County, Ohio",39115,34.0,4900,"2673 of 3146"
"Tillman County, Oklahoma",40141,34.0,2400,"2672 of 3146"
"Cedar County, Missouri",29039,34.0,4706,"2671 of 3146"
"Pierce County, Georgia",13229,34.0,6486,"2670 of 3146"
"Jasper County, South Carolina",45053,33.9,9494,"2669 of 3146"
"Baldwin County, Georgia",13009,33.9,13947,"2668 of 3146"
"Jones County, Mississippi",28067,33.9,22616,"2667 of 3146"
"Johnson County, Georgia",13167,33.8,3059,"2666 of 3146"
"Cherokee County, Oklahoma",40021,33.8,15886,"2665 of 3146"
"Grant County, New Mexico",35017,33.8,9111,"2664 of 3146"
"Summers County, West Virginia",54089,33.8,4036,"2663 of 3146"
"Niobrara County, Wyoming",56027,33.7,721,"2662 of 3146"
"Boone County, West Virginia",54005,33.7,7466,"2661 of 3146"
"Claiborne County, Tennessee",47025,33.7,10246,"2660 of 3146"
"Gila County, Arizona",04007,33.7,17719,"2659 of 3146"
"Johnston County, Oklahoma",40069,33.7,3604,"2658 of 3146"
"DeBaca County, New Mexico",35011,33.6,678,"2657 of 3146"
"Lauderdale County, Mississippi",28075,33.6,24522,"2656 of 3146"
"Gilchrist County, Florida",12041,33.6,5527,"2655 of 3146"
"Martin County, North Carolina",37117,33.6,7588,"2654 of 3146"
"Greene County, North Carolina",37079,33.6,6246,"2653 of 3146"
"Lincoln County, Kentucky",21137,33.6,8026,"2652 of 3146"
"Glades County, Florida",12043,33.5,4118,"2651 of 3146"
"Gadsden County, Florida",12039,33.5,14250,"2650 of 3146"
"Bath County, Virginia",51017,33.5,1418,"2649 of 3146"
"Seminole County, Georgia",13253,33.5,2752,"2648 of 3146"
"Quitman County, Georgia",13239,33.5,767,"2647 of 3146"
"El Paso County, Texas",48141,33.5,274939,"2646 of 3146"
"Hinds County, Mississippi",28049,33.5,77027,"2645 of 3146"
"Washington County, North Carolina",37187,33.5,3926,"2644 of 3146"
"Edwards County, Texas",48137,33.5,638,"2643 of 3146"
"Screven County, Georgia",13251,33.5,4534,"2642 of 3146"
"Brazos County, Texas",48041,33.4,69285,"2641 of 3146"
"Okeechobee County, Florida",12093,33.4,12685,"2640 of 3146"
"Uvalde County, Texas",48463,33.4,8822,"2639 of 3146"
"Haywood County, Tennessee",47075,33.4,5802,"2638 of 3146"
"Weakley County, Tennessee",47183,33.4,10318,"2637 of 3146"
"Saline County, Illinois",17165,33.4,7822,"2636 of 3146"
"Red River County, Texas",48387,33.4,3994,"2635 of 3146"
"Union County, South Carolina",45087,33.4,9006,"2634 of 3146"
"Limestone County, Texas",48293,33.3,7526,"2633 of 3146"
"Swain County, North Carolina",37173,33.3,4687,"2632 of 3146"
"Warren County, Mississippi",28149,33.3,15319,"2631 of 3146"
"Saluda County, South Carolina",45081,33.3,6650,"2630 of 3146"
"Lake County, Oregon",41037,33.3,2410,"2629 of 3146"
"Henry County, Tennessee",47079,33.3,10550,"2628 of 3146"
"Powell County, Kentucky",21197,33.2,3960,"2627 of 3146"
"Deer Lodge County, Montana",30023,33.2,2835,"2626 of 3146"
"Lamar County, Alabama",01075,33.2,4551,"2625 of 3146"
"Clay County, Alabama",01027,33.2,4334,"2624 of 3146"
"Montgomery County, Arkansas",05097,33.2,2923,"2623 of 3146"
"Hempstead County, Arkansas",05057,33.2,7158,"2622 of 3146"
"Iberia Parish, Louisiana",22045,33.2,23489,"2621 of 3146"
"Echols County, Georgia",13101,33.2,1320,"2620 of 3146"
"Washington County, Idaho",16087,33.1,3302,"2619 of 3146"
"Wilson County, North Carolina",37195,33.1,26449,"2618 of 3146"
"St. Louis City, Missouri",29510,33.1,99236,"2617 of 3146"
"Decatur County, Tennessee",47039,33.1,3791,"2616 of 3146"
"Sanders County, Montana",30089,33.1,3811,"2615 of 3146"
"Saguache County, Colorado",08109,33.1,2171,"2614 of 3146"
"Haskell County, Oklahoma",40061,33.0,4141,"2613 of 3146"
"Esmeralda County, Nevada",32009,33.0,318,"2612 of 3146"
"Robertson County, Kentucky",21201,33.0,635,"2611 of 3146"
"Chesterfield County, South Carolina",45025,33.0,14957,"2610 of 3146"
"Miller County, Georgia",13201,33.0,1849,"2609 of 3146"
"Overton County, Tennessee",47133,33.0,7167,"2608 of 3146"
"St. Bernard Parish, Louisiana",22087,33.0,15122,"2607 of 3146"
"Muskogee County, Oklahoma",40101,32.9,21332,"2606 of 3146"
"Fayette County, West Virginia",54019,32.9,13835,"2605 of 3146"
"Stone County, Mississippi",28131,32.9,5762,"2604 of 3146"
"Green County, Kentucky",21087,32.9,3560,"2603 of 3146"
"Knox County, Texas",48275,32.9,1174,"2601 of 3146"
"Okanogan County, Washington",53047,32.9,13537,"2601 of 3146"
"Otero County, New Mexico",35035,32.9,20541,"2600 of 3146"
"Geneva County, Alabama",01061,32.9,8573,"2599 of 3146"
"Taos County, New Mexico",35055,32.9,10707,"2598 of 3146"
"Upson County, Georgia",13293,32.8,8401,"2597 of 3146"
"Sampson County, North Carolina",37163,32.8,20516,"2596 of 3146"
"Winn Parish, Louisiana",22127,32.8,4073,"2595 of 3146"
"Russell County, Kentucky",21207,32.8,5724,"2594 of 3146"
"Dent County, Missouri",29065,32.8,5017,"2593 of 3146"
"Dooly County, Georgia",13093,32.8,4056,"2592 of 3146"
"Monroe County, Tennessee",47123,32.8,14807,"2591 of 3146"
"Lewis County, West Virginia",54041,32.7,5222,"2590 of 3146"
"Lyman County, South Dakota",46085,32.7,1241,"2589 of 3146"
"Tangipahoa Parish, Louisiana",22105,32.7,41949,"2588 of 3146"
"Franklin County, Florida",12037,32.7,3338,"2587 of 3146"
"Bledsoe County, Tennessee",47007,32.7,4447,"2586 of 3146"
"Mineral County, Nevada",32021,32.7,1434,"2585 of 3146"
"Seward County, Kansas",20175,32.7,7098,"2584 of 3146"
"Edmonson County, Kentucky",21061,32.7,3921,"2583 of 3146"
"Rabun County, Georgia",13241,32.6,5307,"2582 of 3146"
"Cherokee County, Texas",48073,32.6,15903,"2581 of 3146"
"Gallatin County, Illinois",17059,32.6,1644,"2580 of 3146"
"Anson County, North Carolina",37007,32.6,7535,"2579 of 3146"
"Pike County, Alabama",01109,32.6,10283,"2578 of 3146"
"Chester County, South Carolina",45023,32.6,10457,"2577 of 3146"
"Wayne County, Michigan",26163,32.6,565476,"2576 of 3146"
"Cabell County, West Virginia",54011,32.6,29429,"2575 of 3146"
"Josephine County, Oregon",41033,32.6,27646,"2574 of 3146"
"Craig County, Oklahoma",40035,32.6,4389,"2573 of 3146"
"Washington County, Missouri",29221,32.6,7680,"2572 of 3146"
"Wyandotte County, Kansas",20209,32.5,53044,"2571 of 3146"
"De Soto Parish, Louisiana",22031,32.5,8800,"2570 of 3146"
"Catahoula Parish, Louisiana",22025,32.5,2757,"2569 of 3146"
"Wetzel County, West Virginia",54103,32.5,4924,"2568 of 3146"
"Jackson County, Alabama",01071,32.5,16668,"2567 of 3146"
"Cherokee County, South Carolina",45021,32.5,18182,"2566 of 3146"
"Carroll County, Kentucky",21041,32.5,3337,"2565 of 3146"
"Frio County, Texas",48163,32.5,5050,"2564 of 3146"
"Wayne County, West Virginia",54099,32.5,13017,"2563 of 3146"
"Assumption Parish, Louisiana",22007,32.5,7209,"2562 of 3146"
"Clayton County, Georgia",13063,32.4,90013,"2561 of 3146"
"Howard County, Arkansas",05061,32.4,4248,"2560 of 3146"
"Wayne County, Georgia",13305,32.4,8920,"2559 of 3146"
"Greenwood County, South Carolina",45047,32.4,22023,"2558 of 3146"
"Harding County, New Mexico",35021,32.4,143,"2557 of 3146"
"Pope County, Arkansas",05115,32.4,19523,"2556 of 3146"
"Alcorn County, Mississippi",28003,32.4,11754,"2555 of 3146"
"Harrison County, Missouri",29081,32.4,2688,"2554 of 3146"
"Cleveland County, Arkansas",05025,32.4,2597,"2553 of 3146"
"Somerset County, Maine",23025,32.4,16084,"2552 of 3146"
"Jim Wells County, Texas",48249,32.4,13097,"2551 of 3146"
"Iron County, Missouri",29093,32.4,3174,"2550 of 3146"
"Lexington City, Virginia",51678,32.4,1409,"2549 of 3146"
"Bradley County, Arkansas",05011,32.4,3488,"2548 of 3146"
"Franklin County, Georgia",13119,32.4,7174,"2547 of 3146"
"Franklin City, Virginia",51620,32.3,2598,"2546 of 3146"
"Bradford County, Florida",12007,32.3,7576,"2545 of 3146"
"Woodson County, Kansas",20207,32.3,996,"2544 of 3146"
"Butts County, Georgia",13035,32.3,6826,"2543 of 3146"
"Fayette County, Alabama",01057,32.3,5227,"2542 of 3146"
"Yakima County, Washington",53077,32.3,79383,"2541 of 3146"
"Vernon County, Missouri",29217,32.3,6390,"2540 of 3146"
"Madison County, Arkansas",05087,32.3,5189,"2539 of 3146"
"Barton County, Missouri",29011,32.3,3763,"2538 of 3146"
"Webster County, Mississippi",28155,32.3,3104,"2537 of 3146"
"Wayne County, North Carolina",37191,32.3,38861,"2536 of 3146"
"Baca County, Colorado",08009,32.3,1109,"2535 of 3146"
"Darlington County, South Carolina",45031,32.2,21159,"2534 of 3146"
"Logan County, Arkansas",05083,32.2,6885,"2533 of 3146"
"Grayson County, Virginia",51077,32.2,4739,"2532 of 3146"
"Charles Mix County, South Dakota",46023,32.2,2912,"2531 of 3146"
"Miller County, Arkansas",05091,32.2,13577,"2530 of 3146"
"Unicoi County, Tennessee",47171,32.2,5602,"2529 of 3146"
"Troup County, Georgia",13285,32.2,21931,"2528 of 3146"
"Crawford County, Missouri",29055,32.2,7633,"2527 of 3146"
"Crockett County, Tennessee",47033,32.2,4555,"2526 of 3146"
"Titus County, Texas",48449,32.2,10371,"2525 of 3146"
"Jackson County, Tennessee",47087,32.2,3680,"2524 of 3146"
"Franklin County, Illinois",17055,32.2,12269,"2523 of 3146"
"Roane County, West Virginia",54087,32.1,4429,"2522 of 3146"
"Wayne County, Mississippi",28153,32.1,6491,"2521 of 3146"
"Franklin County, Mississippi",28037,32.1,2455,"2520 of 3146"
"Poinsett County, Arkansas",05111,32.1,7490,"2519 of 3146"
"Laurens County, South Carolina",45059,32.1,20727,"2518 of 3146"
"Henry County, Virginia",51089,32.1,16245,"2517 of 3146"
"Texas County, Oklahoma",40139,32.1,6521,"2516 of 3146"
"Long County, Georgia",13183,32.1,5908,"2515 of 3146"
"Walker County, Texas",48471,32.1,17634,"2514 of 3146"
"San Juan County, New Mexico",35045,32.1,39881,"2513 of 3146"
"Lafayette County, Florida",12067,32.0,2277,"2512 of 3146"
"Eastland County, Texas",48133,32.0,5547,"2511 of 3146"
"Ferry County, Washington",53019,32.0,2397,"2510 of 3146"
"Russell County, Virginia",51167,32.0,8604,"2509 of 3146"
"Cleveland County, North Carolina",37045,32.0,30495,"2508 of 3146"
"Riley County, Kansas",20161,32.0,20854,"2507 of 3146"
"Upshur County, West Virginia",54097,32.0,7388,"2506 of 3146"
"Pike County, Ohio",39131,32.0,8831,"2505 of 3146"
"Vinton County, Ohio",39163,32.0,4123,"2504 of 3146"
"Charlottesville City, Virginia",51540,32.0,14124,"2503 of 3146"
"Choctaw County, Mississippi",28019,32.0,2575,"2502 of 3146"
"Yalobusha County, Mississippi",28161,32.0,3885,"2501 of 3146"
"Latimer County, Oklahoma",40077,31.9,3182,"2500 of 3146"
"La Salle Parish, Louisiana",22059,31.9,4309,"2499 of 3146"
"Sevier County, Arkansas",05133,31.9,5378,"2498 of 3146"
"Talladega County, Alabama",01121,31.9,24501,"2497 of 3146"
"Roanoke City, Virginia",51770,31.9,31044,"2496 of 3146"
"Fleming County, Kentucky",21069,31.8,4606,"2495 of 3146"
"Thomas County, Georgia",13275,31.8,13958,"2494 of 3146"
"Carlisle County, Kentucky",21039,31.8,1504,"2493 of 3146"
"Pickett County, Tennessee",47137,31.8,1591,"2492 of 3146"
"St. Mary Parish, Louisiana",22101,31.8,15940,"2491 of 3146"
"Delaware County, Oklahoma",40041,31.8,13338,"2490 of 3146"
"Houghton County, Michigan",26061,31.8,10637,"2489 of 3146"
"Klamath County, Oregon",41035,31.7,20927,"2488 of 3146"
"Pitt County, North Carolina",37147,31.7,54272,"2487 of 3146"
"Graves County, Kentucky",21083,31.7,11580,"2486 of 3146"
"Delta County, Colorado",08029,31.7,9290,"2485 of 3146"
"Trinity County, California",06105,31.7,3946,"2484 of 3146"
"Knox County, Missouri",29103,31.6,1225,"2483 of 3146"
"Ochiltree County, Texas",48357,31.6,3170,"2482 of 3146"
"Crawford County, Kansas",20037,31.6,11671,"2481 of 3146"
"Drew County, Arkansas",05043,31.6,5480,"2480 of 3146"
"Wharton County, Texas",48481,31.5,12931,"2479 of 3146"
"Ashtabula County, Ohio",39007,31.5,29846,"2478 of 3146"
"Peach County, Georgia",13225,31.5,7991,"2477 of 3146"
"Barbour County, West Virginia",54001,31.5,5021,"2476 of 3146"
"Mineral County, Montana",30061,31.5,1316,"2475 of 3146"
"Delaware County, Indiana",18035,31.5,33959,"2474 of 3146"
"Greer County, Oklahoma",40055,31.5,1517,"2473 of 3146"
"Lewis County, Tennessee",47101,31.5,3712,"2472 of 3146"
"Rutherford County, North Carolina",37161,31.5,20561,"2471 of 3146"
"Idaho County, Idaho",16049,31.5,4979,"2470 of 3146"
"Matagorda County, Texas",48321,31.5,11437,"2469 of 3146"
"Elmore County, Idaho",16039,31.5,8146,"2468 of 3146"
"Raleigh County, West Virginia",54081,31.5,22762,"2467 of 3146"
"Montgomery County, Georgia",13209,31.5,2595,"2466 of 3146"
"Hawkins County, Tennessee",47073,31.5,17509,"2465 of 3146"
"Barry County, Missouri",29009,31.5,11009,"2464 of 3146"
"Greene County, Georgia",13133,31.5,5403,"2463 of 3146"
"Lewis County, Idaho",16061,31.5,1193,"2462 of 3146"
"Lincoln County, Mississippi",28085,31.4,10616,"2461 of 3146"
"Chilton County, Alabama",01021,31.4,13647,"2460 of 3146"
"Marshall County, Mississippi",28093,31.4,10459,"2459 of 3146"
"Switzerland County, Indiana",18155,31.4,3318,"2458 of 3146"
"Breckinridge County, Kentucky",21027,31.4,6216,"2456 of 3146"
"Gray County, Texas",48179,31.4,6497,"2456 of 3146"
"White County, Tennessee",47185,31.4,8264,"2455 of 3146"
"Lawrence County, Missouri",29109,31.4,11737,"2454 of 3146"
"Nevada County, Arkansas",05099,31.4,2559,"2453 of 3146"
"Bryan County, Oklahoma",40013,31.3,14145,"2452 of 3146"
"Abbeville County, South Carolina",45001,31.3,7494,"2451 of 3146"
"Elk County, Kansas",20049,31.3,783,"2450 of 3146"
"Marshall County, Alabama",01095,31.3,29515,"2449 of 3146"
"Highlands County, Florida",12055,31.3,31865,"2448 of 3146"
"Leon County, Texas",48289,31.3,5359,"2447 of 3146"
"Crawford County, Indiana",18025,31.3,3242,"2446 of 3146"
"Hamblen County, Tennessee",47063,31.3,19573,"2445 of 3146"
"Gregg County, Texas",48183,31.3,37334,"2444 of 3146"
"Hardin County, Tennessee",47071,31.3,7896,"2442 of 3146"
"Union County, Tennessee",47173,31.3,6004,"2442 of 3146"
"Polk County, Georgia",13233,31.3,13005,"2441 of 3146"
"Calloway County, Kentucky",21035,31.3,10955,"2440 of 3146"
"Humboldt County, California",06023,31.3,41447,"2439 of 3146"
"Marion County, Georgia",13197,31.3,2598,"2438 of 3146"
"Grenada County, Mississippi",28043,31.2,6470,"2437 of 3146"
"Bath County, Kentucky",21011,31.2,3821,"2436 of 3146"
"Madera County, California",06039,31.2,45868,"2435 of 3146"
"Martin County, Kentucky",21159,31.2,3227,"2434 of 3146"
"Beaufort County, North Carolina",37013,31.2,14560,"2433 of 3146"
"Marion County, Texas",48315,31.2,3092,"2432 of 3146"
"Albany County, Wyoming",56001,31.2,11204,"2430 of 3146"
"Jasper County, Texas",48241,31.2,10738,"2430 of 3146"
"Monroe County, Indiana",18105,31.2,40716,"2429 of 3146"
"Hart County, Georgia",13147,31.2,7730,"2428 of 3146"
"Wheeler County, Nebraska",31183,31.2,244,"2427 of 3146"
"Arthur County, Nebraska",31005,31.1,133,"2426 of 3146"
"Lawrence County, Arkansas",05075,31.1,4971,"2425 of 3146"
"Spalding County, Georgia",13255,31.1,19918,"2424 of 3146"
"Harrison County, Mississippi",28047,31.1,61947,"2423 of 3146"
"Coles County, Illinois",17029,31.1,14874,"2422 of 3146"
"Nodaway County, Missouri",29147,31.1,6021,"2421 of 3146"
"Accomack County, Virginia",51001,31.1,10047,"2420 of 3146"
"Washington County, Maine",23029,31.1,9450,"2419 of 3146"
"Caddo County, Oklahoma",40015,31.1,8645,"2418 of 3146"
"Lincoln County, Arkansas",05079,31.1,2584,"2417 of 3146"
"Ogemaw County, Michigan",26129,31.0,6337,"2416 of 3146"
"Cass County, Texas",48067,31.0,9171,"2415 of 3146"
"Sebastian County, Arkansas",05131,31.0,39025,"2414 of 3146"
"Conway County, Arkansas",05029,31.0,6433,"2413 of 3146"
"Henderson County, Tennessee",47077,31.0,8531,"2412 of 3146"
"Caldwell County, Missouri",29025,31.0,2699,"2411 of 3146"
"Terrebonne Parish, Louisiana",22109,31.0,34179,"2410 of 3146"
"Lawrence County, Mississippi",28077,31.0,3908,"2409 of 3146"
"McLennan County, Texas",48309,31.0,74749,"2408 of 3146"
"McDonough County, Illinois",17109,31.0,8369,"2407 of 3146"
"Monroe County, Mississippi",28095,31.0,10869,"2406 of 3146"
"Saline County, Nebraska",31151,31.0,4115,"2405 of 3146"
"Gladwin County, Michigan",26051,30.9,7719,"2404 of 3146"
"Macon County, Tennessee",47111,30.9,7252,"2403 of 3146"
"Ashley County, Arkansas",05003,30.9,6216,"2402 of 3146"
"Pike County, Arkansas",05109,30.9,3264,"2401 of 3146"
"Simpson County, Mississippi",28127,30.9,8142,"2400 of 3146"
"Smith County, Mississippi",28129,30.9,4914,"2399 of 3146"
"Jackson County, Florida",12063,30.9,12407,"2398 of 3146"
"Pontotoc County, Mississippi",28115,30.9,9670,"2397 of 3146"
"Russell County, Alabama",01113,30.9,17569,"2396 of 3146"
"Montgomery County, Kentucky",21173,30.9,8473,"2395 of 3146"
"Meigs County, Ohio",39105,30.9,7050,"2394 of 3146"
"Greene County, Tennessee",47059,30.9,20603,"2393 of 3146"
"Dundy County, Nebraska",31057,30.9,578,"2392 of 3146"
"Rhea County, Tennessee",47143,30.9,9788,"2391 of 3146"
"Piscataquis County, Maine",23021,30.9,5064,"2390 of 3146"
"St. Clair County, Missouri",29185,30.8,2782,"2389 of 3146"
"Rapides Parish, Louisiana",22079,30.8,39165,"2388 of 3146"
"Stoddard County, Missouri",29207,30.8,8887,"2387 of 3146"
"Union County, Florida",12125,30.8,2936,"2386 of 3146"
"Dillingham Census Area, Alaska",02070,30.8,1511,"2385 of 3146"
"Taylor County, Florida",12123,30.8,5502,"2384 of 3146"
"Beltrami County, Minnesota",27007,30.8,13527,"2383 of 3146"
"Bleckley County, Georgia",13023,30.8,3462,"2382 of 3146"
"Gordon County, Georgia",13129,30.8,17369,"2381 of 3146"
