Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Marathon County, Wisconsin",55073,93.2,102814,"429 of 3139"
"Marinette County, Wisconsin",55075,93.2,27945,"429 of 3139"
"Mineral County, West Virginia",54057,93.2,19009,"429 of 3139"
"New Castle County, Delaware",10003,93.2,422200,"429 of 3139"
"Otter Tail County, Minnesota",27111,93.2,40697,"429 of 3139"
"Sacramento County, California",06067,93.2,1218827,"429 of 3139"
"Tuolumne County, California",06109,93.2,34259,"429 of 3139"
"Waupaca County, Wisconsin",55135,93.2,36905,"429 of 3139"
"Whiteside County, Illinois",17195,93.2,39868,"429 of 3139"
"Audubon County, Iowa",19009,93.1,3813,"452 of 3139"
"Baltimore County, Maryland",24005,93.1,619270,"452 of 3139"
"Barnes County, North Dakota",38003,93.1,7098,"452 of 3139"
"Cattaraugus County, New York",36009,93.1,54876,"452 of 3139"
"Cumberland County, Pennsylvania",42041,93.1,182165,"452 of 3139"
"Hancock County, Illinois",17067,93.1,12504,"452 of 3139"
"Jackson County, Michigan",26075,93.1,113119,"452 of 3139"
"James City County, Virginia",51095,93.1,52231,"452 of 3139"
"Jasper County, Illinois",17079,93.1,7135,"452 of 3139"
"Lamoille County, Vermont",50015,93.1,18756,"452 of 3139"
"Lincoln County, South Dakota",46083,93.1,50102,"452 of 3139"
"Marshall County, West Virginia",54051,93.1,21470,"452 of 3139"
"Mason County, Illinois",17125,93.1,9542,"452 of 3139"
"Monongalia County, West Virginia",54061,93.1,80064,"452 of 3139"
"Muskegon County, Michigan",26121,93.1,129045,"452 of 3139"
"Oconto County, Wisconsin",55083,93.1,27722,"452 of 3139"
"Perry County, Illinois",17145,93.1,13517,"452 of 3139"
"Polk County, Wisconsin",55095,93.1,31801,"452 of 3139"
"Ramsey County, Minnesota",27123,93.1,421821,"452 of 3139"
"Richland County, North Dakota",38077,93.1,11522,"452 of 3139"
"St. Charles County, Missouri",29183,93.1,313313,"452 of 3139"
"Thurston County, Washington",53067,93.1,219374,"452 of 3139"
"Tyler County, West Virginia",54095,93.1,6107,"452 of 3139"
"Venango County, Pennsylvania",42121,93.1,35625,"452 of 3139"
"Washington County, Oregon",41067,93.1,484411,"452 of 3139"
"Whitman County, Washington",53075,93.1,34984,"452 of 3139"
"Will County, Illinois",17197,93.1,550324,"452 of 3139"
"Wyandot County, Ohio",39175,93.1,16136,"452 of 3139"
"Alpena County, Michigan",26007,93.0,19819,"480 of 3139"
"Baltimore City, Maryland",24510,93.0,451833,"480 of 3139"
"Banner County, Nebraska",31007,93.0,520,"480 of 3139"
"Bay County, Michigan",26017,93.0,75205,"480 of 3139"
"Brooke County, West Virginia",54009,93.0,14872,"480 of 3139"
"Clermont County, Ohio",39025,93.0,159011,"480 of 3139"
"Douglas County, Wisconsin",55031,93.0,31328,"480 of 3139"
"Eau Claire County, Wisconsin",55035,93.0,77856,"480 of 3139"
"Edgar County, Illinois",17045,93.0,12253,"480 of 3139"
"Faribault County, Minnesota",27043,93.0,9497,"480 of 3139"
"Franklin County, New York",36033,93.0,33025,"480 of 3139"
"Freeborn County, Minnesota",27047,93.0,21351,"480 of 3139"
"Greene County, Illinois",17061,93.0,9381,"480 of 3139"
"Greene County, Ohio",39057,93.0,122993,"480 of 3139"
"Hamilton County, Nebraska",31081,93.0,6880,"480 of 3139"
"Henry County, Ohio",39069,93.0,20147,"480 of 3139"
"Ionia County, Michigan",26067,93.0,46195,"480 of 3139"
"Itasca County, Minnesota",27061,93.0,31219,"480 of 3139"
"Lac qui Parle County, Minnesota",27073,93.0,4389,"480 of 3139"
"Madison County, Kentucky",21151,93.0,68370,"480 of 3139"
"Marion County, Illinois",17121,93.0,27241,"480 of 3139"
"Mason County, West Virginia",54053,93.0,18671,"480 of 3139"
"McCracken County, Kentucky",21145,93.0,47678,"480 of 3139"
"Montgomery County, Illinois",17135,93.0,19001,"480 of 3139"
"Murray County, Minnesota",27101,93.0,5582,"480 of 3139"
"Nevada County, California",06057,93.0,66181,"480 of 3139"
"New Haven County, Connecticut",09009,93.0,632300,"480 of 3139"
"Pocahontas County, Iowa",19151,93.0,4652,"480 of 3139"
"Putnam County, Ohio",39137,93.0,25731,"480 of 3139"
"Rock County, Wisconsin",55105,93.0,123341,"480 of 3139"
"San Luis Obispo County, California",06079,93.0,195733,"480 of 3139"
"Spokane County, Washington",53063,93.0,392850,"480 of 3139"
"York County, Virginia",51199,93.0,52478,"480 of 3139"
"Allegan County, Michigan",26005,92.9,90591,"513 of 3139"
"Bond County, Illinois",17005,92.9,10913,"513 of 3139"
"Boone County, Indiana",18011,92.9,54690,"513 of 3139"
"Boyd County, Kentucky",21019,92.9,33056,"513 of 3139"
"Calhoun County, Illinois",17013,92.9,3333,"513 of 3139"
"Champaign County, Illinois",17019,92.9,154940,"513 of 3139"
"Clay County, Illinois",17025,92.9,9573,"513 of 3139"
"Clearfield County, Pennsylvania",42033,92.9,53222,"513 of 3139"
"Clinton County, Ohio",39027,92.9,31149,"513 of 3139"
"Crawford County, Wisconsin",55023,92.9,10722,"513 of 3139"
"Cumberland County, Illinois",17035,92.9,7908,"513 of 3139"
"Decatur County, Iowa",19053,92.9,5204,"513 of 3139"
"Dorchester County, Maryland",24019,92.9,22853,"513 of 3139"
"Elbert County, Colorado",08039,92.9,20654,"513 of 3139"
"Emmet County, Iowa",19063,92.9,6387,"513 of 3139"
"Erie County, Pennsylvania",42049,92.9,193911,"513 of 3139"
"Ford County, Illinois",17053,92.9,9595,"513 of 3139"
"Franklin County, Iowa",19069,92.9,7266,"513 of 3139"
"Gallatin County, Illinois",17059,92.9,3374,"513 of 3139"
"Henderson County, Kentucky",21101,92.9,33573,"513 of 3139"
"Huntingdon County, Pennsylvania",42061,92.9,28425,"513 of 3139"
"Jefferson County, Kentucky",21111,92.9,580599,"513 of 3139"
"Johnson County, Kansas",20091,92.9,478921,"513 of 3139"
"Lackawanna County, Pennsylvania",42069,92.9,150008,"513 of 3139"
"Massac County, Illinois",17127,92.9,9947,"513 of 3139"
"McHenry County, Illinois",17111,92.9,242205,"513 of 3139"
"Mercer County, Pennsylvania",42085,92.9,74012,"513 of 3139"
"Monmouth County, New Jersey",34025,92.9,469507,"513 of 3139"
"Oneida County, Wisconsin",55085,92.9,23822,"513 of 3139"
"Ottawa County, Ohio",39123,92.9,27655,"513 of 3139"
"Saunders County, Nebraska",31155,92.9,16137,"513 of 3139"
"Sierra County, California",06091,92.9,1883,"513 of 3139"
"Stafford County, Virginia",51179,92.9,123677,"513 of 3139"
"Ballard County, Kentucky",21007,92.8,5618,"546 of 3139"
"Calhoun County, Michigan",26025,92.8,98822,"546 of 3139"
"Clarke County, Iowa",19039,92.8,6934,"546 of 3139"
"Clear Creek County, Colorado",08019,92.8,7016,"546 of 3139"
"Eureka County, Nevada",32011,92.8,1579,"546 of 3139"
"Forest County, Pennsylvania",42053,92.8,2786,"546 of 3139"
"Grand Traverse County, Michigan",26055,92.8,67922,"546 of 3139"
"Hancock County, Indiana",18059,92.8,60615,"546 of 3139"
"Kings County, New York",36047,92.8,1999069,"546 of 3139"
"Licking County, Ohio",39089,92.8,133739,"546 of 3139"
"Marshall County, Kentucky",21157,92.8,22259,"546 of 3139"
"Mercer County, Ohio",39107,92.8,31118,"546 of 3139"
"Ocean County, New Jersey",34029,92.8,431324,"546 of 3139"
"Ogle County, Illinois",17141,92.8,37722,"546 of 3139"
"Pickaway County, Ohio",39129,92.8,41539,"546 of 3139"
"Racine County, Wisconsin",55101,92.8,146699,"546 of 3139"
"Ringgold County, Iowa",19159,92.8,3376,"546 of 3139"
"Sargent County, North Dakota",38081,92.8,2786,"546 of 3139"
"Seneca County, Ohio",39147,92.8,39609,"546 of 3139"
"Snohomish County, Washington",53061,92.8,653315,"546 of 3139"
"St. Charles Parish, Louisiana",22089,92.8,41789,"546 of 3139"
"St. Clair County, Illinois",17163,92.8,197967,"546 of 3139"
"Stark County, Illinois",17175,92.8,3800,"546 of 3139"
"Trimble County, Kentucky",21223,92.8,6426,"546 of 3139"
"Tuscola County, Michigan",26157,92.8,37781,"546 of 3139"
"Van Wert County, Ohio",39161,92.8,20873,"546 of 3139"
"Wells County, North Dakota",38103,92.8,2506,"546 of 3139"
"White County, Illinois",17193,92.8,9723,"546 of 3139"
"Ascension Parish, Louisiana",22005,92.7,102236,"574 of 3139"
"Botetourt County, Virginia",51023,92.7,23639,"574 of 3139"
"Bureau County, Illinois",17011,92.7,23273,"574 of 3139"
"Cass County, Iowa",19029,92.7,8991,"574 of 3139"
"Clark County, Washington",53011,92.7,378219,"574 of 3139"
"Clayton County, Iowa",19043,92.7,12204,"574 of 3139"
"Clinton County, Pennsylvania",42035,92.7,27098,"574 of 3139"
"Columbia County, Oregon",41009,92.7,39068,"574 of 3139"
"Cottonwood County, Minnesota",27033,92.7,7818,"574 of 3139"
"Cuyahoga County, Ohio",39035,92.7,909978,"574 of 3139"
"Hamilton County, New York",36041,92.7,2783,"574 of 3139"
"Jefferson County, Illinois",17081,92.7,26253,"574 of 3139"
"Johnson County, Illinois",17087,92.7,7825,"574 of 3139"
"Knox County, Illinois",17095,92.7,32815,"574 of 3139"
"Lenawee County, Michigan",26091,92.7,69429,"574 of 3139"
"Lincoln County, Washington",53043,92.7,7427,"574 of 3139"
"Logan County, Ohio",39091,92.7,34204,"574 of 3139"
"Macomb County, Michigan",26099,92.7,664951,"574 of 3139"
"Merrimack County, New Hampshire",33013,92.7,109306,"574 of 3139"
"Owsley County, Kentucky",21189,92.7,3195,"574 of 3139"
"Peoria County, Illinois",17143,92.7,133341,"574 of 3139"
"Posey County, Indiana",18129,92.7,18911,"574 of 3139"
"Potter County, Pennsylvania",42105,92.7,11415,"574 of 3139"
"Price County, Wisconsin",55099,92.7,8950,"574 of 3139"
"Ramsey County, North Dakota",38071,92.7,8223,"574 of 3139"
"Salem City, Virginia",51775,92.7,17353,"574 of 3139"
"Sandusky County, Ohio",39143,92.7,43248,"574 of 3139"
"Schuyler County, Illinois",17169,92.7,4764,"574 of 3139"
"Taylor County, Kentucky",21217,92.7,18183,"574 of 3139"
"Wood County, West Virginia",54107,92.7,60583,"574 of 3139"
"Asotin County, Washington",53003,92.6,15618,"604 of 3139"
"Bracken County, Kentucky",21023,92.6,6314,"604 of 3139"
"Carroll County, Illinois",17015,92.6,9727,"604 of 3139"
"Cheyenne County, Nebraska",31033,92.6,6512,"604 of 3139"
"Chippewa County, Minnesota",27023,92.6,8407,"604 of 3139"
"Clackamas County, Oregon",41005,92.6,318785,"604 of 3139"
"Coles County, Illinois",17029,92.6,36145,"604 of 3139"
"Cowlitz County, Washington",53015,92.6,81230,"604 of 3139"
"Daviess County, Kentucky",21059,92.6,75793,"604 of 3139"
"Dawson County, Montana",30021,92.6,6027,"604 of 3139"
"Franklin City, Virginia",51620,92.6,5836,"604 of 3139"
"Fulton County, Ohio",39051,92.6,31666,"604 of 3139"
"Iron County, Wisconsin",55051,92.6,3523,"604 of 3139"
"Jefferson County, West Virginia",54037,92.6,43521,"604 of 3139"
"Kankakee County, Illinois",17091,92.6,79635,"604 of 3139"
"Kearney County, Nebraska",31099,92.6,4786,"604 of 3139"
"Kent County, Michigan",26081,92.6,514699,"604 of 3139"
"Koochiching County, Minnesota",27071,92.6,8119,"604 of 3139"
"Lake County, Ohio",39085,92.6,167972,"604 of 3139"
"Lake of the Woods County, Minnesota",27077,92.6,2554,"604 of 3139"
"Lawrence County, Illinois",17101,92.6,9792,"604 of 3139"
"Lee County, Kentucky",21129,92.6,4673,"604 of 3139"
"Luzerne County, Pennsylvania",42079,92.6,225787,"604 of 3139"
"McDonough County, Illinois",17109,92.6,19683,"604 of 3139"
"McLean County, Kentucky",21149,92.6,6780,"604 of 3139"
"Miami County, Kansas",20121,92.6,26030,"604 of 3139"
"Pike County, Pennsylvania",42103,92.6,39087,"604 of 3139"
"Porter County, Indiana",18127,92.6,129071,"604 of 3139"
"Renville County, Minnesota",27129,92.6,10435,"604 of 3139"
"Rice County, Minnesota",27131,92.6,45772,"604 of 3139"
"Skamania County, Washington",53059,92.6,8640,"604 of 3139"
"Worcester County, Maryland",24047,92.6,34406,"604 of 3139"
"Amador County, California",06005,92.5,22933,"636 of 3139"
"Belmont County, Ohio",39013,92.5,45853,"636 of 3139"
"Cheshire County, New Hampshire",33005,92.5,52323,"636 of 3139"
"DeKalb County, Illinois",17037,92.5,79648,"636 of 3139"
"Erie County, Ohio",39043,92.5,52634,"636 of 3139"
"Garrett County, Maryland",24023,92.5,20448,"636 of 3139"
"Ingham County, Michigan",26065,92.5,217616,"636 of 3139"
"Jackson County, West Virginia",54035,92.5,20813,"636 of 3139"
"Jefferson County, Colorado",08059,92.5,445092,"636 of 3139"
"Marion County, Kentucky",21155,92.5,14404,"636 of 3139"
"Miami County, Ohio",39109,92.5,79806,"636 of 3139"
"Montgomery County, Kentucky",21173,92.5,21403,"636 of 3139"
"Powell County, Kentucky",21197,92.5,9330,"636 of 3139"
"Radford City, Virginia",51750,92.5,12117,"636 of 3139"
"Roanoke County, Virginia",51161,92.5,66772,"636 of 3139"
"Ross County, Ohio",39141,92.5,54006,"636 of 3139"
"Saline County, Illinois",17165,92.5,16758,"636 of 3139"
"Simpson County, Kentucky",21213,92.5,13996,"636 of 3139"
"Somerset County, Maryland",24039,92.5,14902,"636 of 3139"
"Ward County, North Dakota",38101,92.5,52535,"636 of 3139"
"Allen County, Ohio",39003,92.4,72808,"656 of 3139"
"Berks County, Pennsylvania",42011,92.4,311446,"656 of 3139"
"Delta County, Michigan",26041,92.4,24514,"656 of 3139"
"Grant County, Arkansas",05053,92.4,13709,"656 of 3139"
"Hocking County, Ohio",39073,92.4,20803,"656 of 3139"
"Lorain County, Ohio",39093,92.4,226132,"656 of 3139"
"Marion County, Ohio",39101,92.4,44052,"656 of 3139"
"Marshall County, Iowa",19127,92.4,28750,"656 of 3139"
"Mitchell County, Iowa",19131,92.4,7627,"656 of 3139"
"Osceola County, Iowa",19143,92.4,4212,"656 of 3139"
"Pepin County, Wisconsin",55091,92.4,5108,"656 of 3139"
"Pierce County, Washington",53053,92.4,700419,"656 of 3139"
"Portage County, Ohio",39133,92.4,118141,"656 of 3139"
"Prince George County, Virginia",51149,92.4,26469,"656 of 3139"
"Rockcastle County, Kentucky",21203,92.4,12258,"656 of 3139"
"Sherman County, Oregon",41055,92.4,1212,"656 of 3139"
"Somerset County, Pennsylvania",42111,92.4,48193,"656 of 3139"
"Swift County, Minnesota",27151,92.4,6536,"656 of 3139"
"Van Buren County, Iowa",19177,92.4,4989,"656 of 3139"
"Warren County, New Jersey",34041,92.4,78273,"656 of 3139"
"Warrick County, Indiana",18173,92.4,47913,"656 of 3139"
"Wayne County, Michigan",26163,92.4,1334037,"656 of 3139"
"Wayne County, Pennsylvania",42127,92.4,32604,"656 of 3139"
"Whitley County, Kentucky",21235,92.4,26349,"656 of 3139"
"Woodbury County, Iowa",19193,92.4,78284,"656 of 3139"
"Adams County, Pennsylvania",42001,92.3,72232,"681 of 3139"
"Alexander County, Illinois",17003,92.3,4028,"681 of 3139"
"Boulder County, Colorado",08013,92.3,249752,"681 of 3139"
"Butler County, Ohio",39017,92.3,290643,"681 of 3139"
"Crawford County, Ohio",39033,92.3,29721,"681 of 3139"
"Dauphin County, Pennsylvania",42043,92.3,208687,"681 of 3139"
"Gibson County, Indiana",18051,92.3,25106,"681 of 3139"
"Griggs County, North Dakota",38039,92.3,1418,"681 of 3139"
"Guadalupe County, New Mexico",35019,92.3,2616,"681 of 3139"
"Hamilton County, Ohio",39061,92.3,618300,"681 of 3139"
"Harrison County, Kentucky",21097,92.3,14189,"681 of 3139"
"Harrison County, West Virginia",54033,92.3,49447,"681 of 3139"
"Hendricks County, Indiana",18063,92.3,132815,"681 of 3139"
"Hubbard County, Minnesota",27057,92.3,14606,"681 of 3139"
"Kenosha County, Wisconsin",55059,92.3,129999,"681 of 3139"
"Lapeer County, Michigan",26087,92.3,64586,"681 of 3139"
"Larimer County, Colorado",08069,92.3,269884,"681 of 3139"
"Nemaha County, Nebraska",31127,92.3,4744,"681 of 3139"
"Otsego County, Michigan",26137,92.3,17585,"681 of 3139"
"Pike County, Illinois",17149,92.3,10957,"681 of 3139"
"Richland County, Illinois",17159,92.3,11178,"681 of 3139"
"Sibley County, Minnesota",27143,92.3,11000,"681 of 3139"
"Stark County, Ohio",39151,92.3,268590,"681 of 3139"
"Sullivan County, New Hampshire",33019,92.3,30707,"681 of 3139"
"Washburn County, Wisconsin",55129,92.3,10392,"681 of 3139"
"Washington County, Ohio",39167,92.3,42234,"681 of 3139"
"Becker County, Minnesota",27005,92.2,24653,"707 of 3139"
"Breathitt County, Kentucky",21025,92.2,9249,"707 of 3139"
"Brown County, Wisconsin",55009,92.2,201040,"707 of 3139"
"Butte County, California",06007,92.2,161203,"707 of 3139"
"Crawford County, Michigan",26039,92.2,9451,"707 of 3139"
"Cumberland County, Maine",23005,92.2,215850,"707 of 3139"
"Franklin County, Kentucky",21073,92.2,36979,"707 of 3139"
"Grant County, Wisconsin",55043,92.2,35170,"707 of 3139"
"Hardin County, Ohio",39065,92.2,22472,"707 of 3139"
"Henderson County, Illinois",17071,92.2,4551,"707 of 3139"
"Jefferson County, Pennsylvania",42065,92.2,30907,"707 of 3139"
"Johnson County, Kentucky",21115,92.2,16116,"707 of 3139"
"Lawrence County, Ohio",39087,92.2,43815,"707 of 3139"
"Livingston County, Kentucky",21139,92.2,6511,"707 of 3139"
"Mahoning County, Ohio",39099,92.2,157834,"707 of 3139"
"Marion County, West Virginia",54049,92.2,40491,"707 of 3139"
"Mower County, Minnesota",27099,92.2,29535,"707 of 3139"
"Ohio County, Kentucky",21183,92.2,17844,"707 of 3139"
"Oliver County, North Dakota",38065,92.2,1388,"707 of 3139"
"Perry County, Ohio",39127,92.2,27430,"707 of 3139"
"Sonoma County, California",06097,92.2,356724,"707 of 3139"
"Stanton County, Nebraska",31167,92.2,4404,"707 of 3139"
"Strafford County, New Hampshire",33017,92.2,94251,"707 of 3139"
"Wayne County, Iowa",19185,92.2,4536,"707 of 3139"
"Wayne County, Nebraska",31179,92.2,6280,"707 of 3139"
"Wetzel County, West Virginia",54103,92.2,10602,"707 of 3139"
"Wexford County, Michigan",26165,92.2,24605,"707 of 3139"
"Williams County, Ohio",39171,92.2,26577,"707 of 3139"
"Wirt County, West Virginia",54105,92.2,4212,"707 of 3139"
"Woodford County, Kentucky",21239,92.2,19448,"707 of 3139"
"Aitkin County, Minnesota",27001,92.1,9459,"737 of 3139"
"Bland County, Virginia",51021,92.1,3830,"737 of 3139"
"Buena Vista City, Virginia",51530,92.1,4348,"737 of 3139"
"Calaveras County, California",06009,92.1,30117,"737 of 3139"
"Caldwell County, Kentucky",21033,92.1,9121,"737 of 3139"
"Chesapeake City, Virginia",51550,92.1,190383,"737 of 3139"
"Deschutes County, Oregon",41017,92.1,144558,"737 of 3139"
"Dickey County, North Dakota",38021,92.1,3453,"737 of 3139"
"Fillmore County, Minnesota",27045,92.1,15088,"737 of 3139"
"Fulton County, Illinois",17057,92.1,22749,"737 of 3139"
"Gilmer County, West Virginia",54021,92.1,4332,"737 of 3139"
"Greenlee County, Arizona",04011,92.1,7492,"737 of 3139"
"Hampton City, Virginia",51650,92.1,99413,"737 of 3139"
"Jefferson County, Ohio",39081,92.1,44952,"737 of 3139"
"Langlade County, Wisconsin",55067,92.1,13031,"737 of 3139"
"Lewis and Clark County, Montana",30049,92.1,50698,"737 of 3139"
"Madison County, Ohio",39097,92.1,30412,"737 of 3139"
"Martin County, Kentucky",21159,92.1,7200,"737 of 3139"
"Mercer County, Kentucky",21167,92.1,16294,"737 of 3139"
"Morgan County, Utah",49029,92.1,9961,"737 of 3139"
"Muskingum County, Ohio",39119,92.1,63623,"737 of 3139"
"Paulding County, Ohio",39125,92.1,13833,"737 of 3139"
"Preble County, Ohio",39135,92.1,29959,"737 of 3139"
"Santa Cruz County, California",06087,92.1,197973,"737 of 3139"
"Stillwater County, Montana",30095,92.1,6821,"737 of 3139"
"Suffolk City, Virginia",51800,92.1,71220,"737 of 3139"
"Wolfe County, Kentucky",21237,92.1,5139,"737 of 3139"
"Berkeley County, West Virginia",54003,92.0,92417,"764 of 3139"
"Butler County, Nebraska",31023,92.0,5741,"764 of 3139"
"Cass County, Michigan",26027,92.0,36918,"764 of 3139"
"Covington City, Virginia",51580,92.0,3961,"764 of 3139"
"Floyd County, Indiana",18043,92.0,59872,"764 of 3139"
"Franklin County, Illinois",17055,92.0,27626,"764 of 3139"
"Hillsborough County, New Hampshire",33011,92.0,317090,"764 of 3139"
"Jefferson County, Arkansas",05069,92.0,45165,"764 of 3139"
"Jo Daviess County, Illinois",17085,92.0,13828,"764 of 3139"
"Knox County, Kentucky",21121,92.0,22676,"764 of 3139"
"Leavenworth County, Kansas",20103,92.0,58547,"764 of 3139"
