Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Lawrence, PA(7)",0129,***,18.9 ,15.2, 23.3,N/A , 10 , 26,21,stable,1.8 ,-0.9, 4.6
"Lowndes, GA - Brooks, GA(7)",0180,***,18.9 ,16.1, 22,N/A , 17 , 40,35,stable,1.4 ,-0.4, 3.2
"Muskogee, OK - Wagoner, OK(7)",0445,***,18.9 ,16.6, 21.4,N/A , 11 , 22,54,rising,2.1 ,0.3, 3.9
"Adams, MS - Jefferson, MS(7)",0929,***,18.8 ,13.9, 25,N/A , 1 , 21,11,*,*,*,*
"Fayette, TX - Colorado, TX(7)",0490,***,18.8 ,14.1, 24.7,N/A , 1 , 36,13,stable,-0.7 ,-4.8, 3.5
"Montgomery, IA - Adams, IA(7)",0647,***,18.8 ,10.3, 31.8,N/A , 8 , 33,3,*,*,*,*
"Saginaw (Saginaw), MI - Tuscola, MI(7)",0322,***,18.8 ,16.7, 21.1,N/A , 9 , 24,67,stable,0.2 ,-1.0, 1.4
"Ashland, WI - Sawyer, WI(7)",0357,***,18.8 ,14.5, 24.1,N/A , 11 , 25,16,rising,4.8 ,1.3, 8.4
"Montgomery, VA - Pulaski, VA(7)",0070,***,18.8 ,16.2, 21.6,N/A , 8 , 14,41,rising,14.8 ,3.5, 27.4
"Garland, AR - Hot Spring, AR(7)",0448,***,18.8 ,16.3, 21.5,N/A , 7 , 17,46,rising,3.5 ,0.6, 6.6
"Pike, PA(7)",0876,***,18.8 ,14.7, 23.7,N/A , 8 , 26,16,stable,0.9 ,-2.2, 4.1
"Goshen, WY - Niobrara, WY(7)",0948,***,18.8 ,10.7, 30.6,N/A , 2 , 11,4,stable,1.3 ,-4.7, 7.6
"Harrison (Biloxi), MS - Hancock, MS(7)",0456,***,18.7 ,16.6, 21.1,N/A , 3 , 17,58,*,*,*,*
"Latah, ID(7)",0784,***,18.7 ,12.7, 26.5,N/A , 6 , 11,7,stable,-1.1 ,-5.5, 3.5
"Montgomery, IN(7)",0402,***,18.7 ,13.1, 25.9,N/A , 6 , 29,8,stable,2.9 ,-1.7, 7.8
"Portage, WI(7)",0400,***,18.7 ,14.6, 23.7,N/A , 11 , 25,15,stable,-2.9 ,-6.7, 1.0
"Berrien (Benton Harbor), MI - Van Buren, MI(7)",0327,***,18.7 ,16.7, 20.9,N/A , 10 , 24,68,stable,-0.8 ,-2.8, 1.3
"Denton (Denton), TX - Wise, TX(7)",0495,***,18.7 ,17.4, 20.1,N/A , 2 , 15,161,rising,1.3 ,0.2, 2.4
"Leon (Tallahassee), FL - Gadsden, FL(7)",0183,***,18.7 ,16.9, 20.6,N/A , 15 , 16,88,stable,7.1 ,-0.8, 15.6
"New London, CT(7)",0020,***,18.6 ,16.5, 20.9,N/A , 2 , 4,63,falling,-3.6 ,-5.4, -1.8
"Hinds (Jackson), MS - Rankin, MS(7)",0411,***,18.6 ,17.1, 20.1,N/A , 5 , 16,122,*,*,*,*
"Fresno (Fresno), CA - Kings, CA(7)",0718,***,18.5 ,17.5, 19.7,N/A , 23 , 27,226,rising,2.3 ,1.5, 3.0
"Kern, CA(7)",0807,***,18.5 ,17.2, 20,N/A , 23 , 27,145,stable,-0.6 ,-1.6, 0.5
"Sutter (Yuba City), CA - Yuba, CA(7)",0690,***,18.5 ,15.9, 21.4,N/A , 20 , 28,37,stable,-13.9 ,-29.2, 4.6
"Lincoln, OR - Tillamook, OR(7)",0783,***,18.5 ,15, 22.7,N/A , 5 , 12,24,falling,-10.7 ,-18.5, -2.2
"Brown, TX - Coleman, TX(7)",0468,***,18.5 ,14.3, 23.5,N/A , 1 , 34,15,stable,0.6 ,-2.7, 3.9
"Wayne (Detroit), MI - Oakland, MI(7)",0274,***,18.5 ,17.9, 19,N/A , 14 , 23,839,rising,2.0 ,1.0, 2.9
"Mc Kean, PA - Potter, PA(7)",0864,***,18.5 ,14.6, 23.2,N/A , 10 , 26,17,stable,0.9 ,-2.4, 4.4
"Defiance, OH - Williams, OH(7)",0356,***,18.4 ,15.3, 22.1,N/A , 19 , 28,27,stable,6.5 ,0.0, 13.5
"Carroll, VA - Grayson, VA(7)",0873,***,18.4 ,13.9, 24,N/A , 6 , 17,13,stable,-1.5 ,-6.6, 3.9
"Rutherford (Murfreesboro), TN - Warren, TN(7)",0211,***,18.4 ,16.5, 20.5,N/A , 10 , 23,70,stable,1.4 ,-1.6, 4.4
"Westchester (Yonkers), NY - Dutchess, NY(7)",0041,***,18.4 ,17.5, 19.3,N/A , 15 , 20,360,falling,-5.6 ,-10.5, -0.4
"Potter (Amarillo), TX - Randall, TX(7)",0405,***,18.4 ,16.4, 20.5,N/A , 2 , 19,67,stable,-1.3 ,-2.8, 0.2
"Wayne, NC - Lenoir, NC(7)",0238,***,18.3 ,16.2, 20.7,N/A , 24 , 29,58,rising,3.1 ,1.3, 4.9
"Harrison, KY - Robertson, KY(7)",0119,***,18.3 ,11.5, 28,N/A , 9 , 30,5,stable,-2.4 ,-5.8, 1.1
"Santa Fe (Santa Fe), NM - Rio Arriba, NM(7)",0724,***,18.3 ,16.3, 20.6,N/A , 1 , 3,63,stable,0.7 ,-0.2, 1.5
"Midland (Midland), MI - Isabella, MI(7)",0330,***,18.3 ,15.9, 21.1,N/A , 10 , 24,44,stable,-1.1 ,-3.9, 1.9
"Lincoln, TN(7)",0900,***,18.3 ,12.9, 25.3,N/A , 5 , 28,8,stable,2.5 ,-2.1, 7.3
"Dewey, SD - Walworth, SD(7)",0648,***,18.3 ,10.7, 29.2,N/A , 4 , 12,4,*,*,*,*
"Hancock (Weirton), WV - Brooke, WV(7)",0924,***,18.3 ,13.7, 23.9,N/A , 3 , 15,13,rising,3.0 ,0.3, 5.7
"La Plata, CO - Montezuma, CO(7)",0985,***,18.3 ,14.9, 22.2,N/A , 6 , 14,23,stable,-1.4 ,-5.2, 2.6
"Siskiyou, CA(7)",0752,***,18.2 ,13.3, 24.6,N/A , 14 , 29,11,falling,-7.2 ,-10.9, -3.3
"Wayne, IN - Fayette, IN(7)",0385,***,18.2 ,14.9, 22.1,N/A , 12 , 29,22,stable,1.2 ,-1.8, 4.4
"Bradley, TN - Polk, TN(7)",0895,***,18.2 ,15.2, 21.6,N/A , 8 , 25,28,stable,1.1 ,-1.5, 3.8
"Floyd (New Albany), IN - Harrison, IN(7)",0339,***,18.2 ,15.5, 21.3,N/A , 14 , 29,34,stable,1.1 ,-0.8, 3.2
"Stutsman, ND - Wells, ND(7)",0632,***,18.2 ,11.7, 26.9,N/A , 2 , 8,6,stable,2.8 ,-3.0, 8.9
"Ware, GA - Pierce, GA(7)",0174,***,18.2 ,14.2, 23,N/A , 14 , 41,15,stable,1.7 ,-1.3, 4.7
"Marquette, MI - Delta, MI(7)",0293,***,18.1 ,15, 21.6,N/A , 8 , 25,30,rising,6.4 ,2.7, 10.3
"Vanderburgh (Evansville), IN - Warrick, IN(7)",0902,***,18.1 ,16.2, 20.2,N/A , 17 , 28,70,rising,3.9 ,1.5, 6.4
"Red Willow, NE - Hitchcock, NE(7)",0955,***,18.1 ,10.3, 30,N/A , 4 , 22,4,stable,-1.5 ,-6.5, 3.7
"Pittsburg, OK - Pushmataha, OK(7)",0466,***,18 ,14, 22.9,N/A , 7 , 22,15,stable,2.5 ,-0.2, 5.3
"Mohave, AZ(7)",0803,***,17.9 ,15.6, 20.5,N/A , 3 , 4,59,rising,2.0 ,0.4, 3.6
"Audrain, MO - Montgomery, MO(7)",0666,***,17.9 ,13, 24.1,N/A , 2 , 21,10,stable,-1.1 ,-5.2, 3.2
"Grenada, MS - Montgomery, MS(7)",0502,***,17.9 ,13.3, 23.8,N/A , 1 , 21,10,*,*,*,*
"Jackson (Kansas City), MO - Clay, MO(7)",0548,***,17.9 ,16.9, 18.9,N/A , 6 , 16,250,stable,1.8 ,-0.3, 4.0
"Putnam, GA - Hancock, GA(7)",0201,***,17.8 ,12.3, 25.2,N/A , 11 , 41,8,stable,2.2 ,-0.8, 5.3
"Dawes, NE - Sheridan, NE(7)",0623,***,17.8 ,9.9, 29.8,N/A , 5 , 22,4,stable,-49.8 ,-75.9, 4.7
"Todd, SD - Tripp, SD(7)",0954,***,17.8 ,10.7, 27.8,N/A , 5 , 12,4,*,*,*,*
"Wilbarger, TX - Hardeman, TX(7)",0458,***,17.8 ,10.6, 28.2,N/A , 1 , 46,4,stable,0.8 ,-4.1, 5.9
"Columbia, NY - Greene, NY(7)",0881,***,17.8 ,14.7, 21.3,N/A , 12 , 20,28,stable,-1.7 ,-4.2, 0.9
"Custer, MT - Fallon, MT(7)",0714,***,17.8 ,11.2, 27.1,N/A , 6 , 12,5,*,*,*,*
"Oktibbeha, MS - Winston, MS(7)",0484,***,17.8 ,13.9, 22.3,N/A , 2 , 21,16,*,*,*,*
"Coos, OR - Curry, OR(7)",0969,***,17.7 ,14.3, 21.7,N/A , 5 , 12,24,stable,-3.0 ,-6.1, 0.2
"Cook (Chicago), IL - DuPage, IL(7)",0287,***,17.7 ,17.2, 18.1,N/A , 29 , 33,1388,stable,4.5 ,-1.9, 11.3
"Greene (Springfield), MO - Christian, MO(7)",0549,***,17.6 ,16.3, 19,N/A , 6 , 17,144,stable,-2.7 ,-6.2, 1.0
"Massac, IL - Johnson, IL(7)",0012,***,17.6 ,11.9, 25.3,N/A , 14 , 33,7,stable,-1.3 ,-3.5, 1.0
"Washington, PA - Fayette, PA(7)",0100,***,17.6 ,15.9, 19.5,N/A , 20 , 26,86,stable,-12.3 ,-28.0, 6.8
"Rapides (Alexandria), LA - Avoyelles, LA(7)",0450,***,17.6 ,15.4, 20,N/A , 4 , 11,49,rising,3.9 ,2.3, 5.4
"Stafford, VA - Spotsylvania, VA(7)",0135,***,17.6 ,15.6, 19.7,N/A , 9 , 15,63,stable,-0.8 ,-2.0, 0.4
"Vigo (Terre Haute), IN - Clay, IN(7)",0911,***,17.6 ,15.1, 20.3,N/A , 17 , 29,39,stable,-1.3 ,-3.5, 1.0
"Payette, ID - Washington, ID(7)",0729,***,17.6 ,12.5, 24.2,N/A , 7 , 11,9,stable,1.0 ,-2.6, 4.8
"Alcorn, MS - Tishomingo, MS(7)",0498,***,17.6 ,13.3, 22.9,N/A , 2 , 21,12,*,*,*,*
"Decatur, GA - Seminole, GA(7)",0228,***,17.5 ,12.5, 23.9,N/A , 12 , 41,9,stable,-0.7 ,-3.3, 1.9
"Richardson, NE - Pawnee, NE(7)",0628,***,17.5 ,9.1, 31.6,N/A , 4 , 22,3,*,*,*,*
"Grant, NM - Hidalgo, NM(7)",0793,***,17.5 ,12.5, 24,N/A , 1 , 6,10,stable,0.1 ,-1.7, 1.9
"Lewis, WA - Pacific, WA(7)",0832,***,17.4 ,14.3, 21,N/A , 9 , 13,25,stable,-0.8 ,-2.9, 1.4
"Campbell, WY - Crook, WY(7)",0950,***,17.3 ,12.3, 23.6,N/A , 5 , 11,9,stable,0.7 ,-3.7, 5.3
"Calhoun (Battle Creek), MI - Barry, MI(7)",0381,***,17.3 ,14.9, 19.9,N/A , 11 , 25,43,stable,-0.7 ,-2.5, 1.2
"Jasper (Joplin), MO - Newton, MO(7)",0938,***,17.2 ,14.9, 19.8,N/A , 6 , 19,43,rising,12.0 ,4.9, 19.5
"Grayson (Sherman), TX - Fannin, TX(7)",0930,***,17.2 ,14.7, 20,N/A , 2 , 29,35,stable,0.7 ,-0.7, 2.2
"Bulloch, GA - Emanuel, GA(7)",0222,***,17.2 ,13.9, 20.9,N/A , 19 , 41,21,rising,3.0 ,0.6, 5.5
"Bedford, TN(7)",0260,***,17.1 ,12.4, 23,N/A , 7 , 28,9,stable,-1.4 ,-5.1, 2.3
"Juneau City and Borough, AK - Sitka City and Borough, AK(7)",0818,***,17.1 ,12.2, 23.4,N/A , 1 , 4,9,stable,1.7 ,-2.9, 6.5
"Tift, GA - Ben Hill, GA(7)",0189,***,17.1 ,13.4, 21.5,N/A , 18 , 41,15,stable,0.8 ,-1.6, 3.3
"Williams, ND - McKenzie, ND(7)",0579,***,17.1 ,11.9, 23.6,N/A , 3 , 8,8,stable,3.4 ,-2.0, 9.0
"Pitt, NC - Beaufort, NC(7)",0195,***,17 ,15, 19.3,N/A , 25 , 30,53,stable,0.0 ,-2.0, 1.9
"Davidson (Nashville-Davidson), TN - Williamson, TN(7)",0148,***,17 ,15.9, 18.2,N/A , 14 , 24,194,stable,-1.4 ,-3.5, 0.8
"Richland (Columbia), SC - Lexington, SC(7)",0160,***,17 ,15.7, 18.4,N/A , 8 , 9,139,stable,0.4 ,-1.1, 1.9
"Dunklin, MO(7)",0945,***,17 ,11.1, 24.9,N/A , 2 , 22,6,*,*,*,*
"Galveston, TX(7)",0532,***,17 ,15.1, 19.1,N/A , 3 , 26,60,stable,11.0 ,-2.8, 26.6
"Rockland, NY(7)",0865,***,17 ,15.1, 19,N/A , 16 , 20,63,stable,-1.8 ,-3.8, 0.2
"Androscoggin (Lewiston), ME - Oxford, ME(7)",0095,***,16.9 ,14.6, 19.4,N/A , 5 , 6,43,stable,-1.2 ,-2.9, 0.5
"Ouachita, AR - Dallas, AR(7)",0496,***,16.8 ,11.3, 24.3,N/A , 3 , 21,7,*,*,*,*
"Kay (Ponca City), OK - Osage, OK(7)",0515,***,16.8 ,13.4, 20.7,N/A , 12 , 22,19,stable,-1.1 ,-4.5, 2.4
"Comal, TX(7)",0517,***,16.7 ,13.9, 19.9,N/A , 2 , 33,28,falling,-3.1 ,-4.5, -1.7
"Cumberland, NJ(7)",0127,***,16.7 ,14.1, 19.7,N/A , 7 , 9,29,stable,1.3 ,-0.8, 3.5
"Ashley, AR - Chicot, AR(7)",0480,***,16.7 ,11.5, 23.5,N/A , 5 , 21,7,stable,3.1 ,-1.2, 7.7
"Lawrence, TN - Wayne, TN(7)",0232,***,16.7 ,12.9, 21.3,N/A , 8 , 27,14,stable,1.3 ,-2.6, 5.4
"Henry, TN - Carroll, TN(7)",0882,***,16.6 ,13.2, 20.8,N/A , 9 , 27,18,stable,0.3 ,-2.8, 3.5
"Victoria (Victoria), TX - Calhoun, TX(7)",0433,***,16.6 ,14.2, 19.3,N/A , 3 , 30,37,stable,1.7 ,-0.7, 4.1
"Butler, AL(7)",0259,***,16.6 ,9.9, 26.3,N/A , 4 , 20,4,stable,2.1 ,-3.5, 8.1
"Pulaski, MO - Phelps, MO(7)",0627,***,16.6 ,13.4, 20.3,N/A , 5 , 21,19,rising,3.0 ,0.3, 5.9
"Lafayette (Lafayette), LA - Iberia, LA(7)",0424,***,16.6 ,15, 18.3,N/A , 5 , 11,85,rising,3.1 ,2.0, 4.1
"Jefferson (Pine Bluff), AR - Drew, AR(7)",0473,***,16.6 ,13.8, 19.8,N/A , 9 , 20,27,rising,6.0 ,3.2, 8.9
"Brazos (Bryan), TX - Washington, TX(7)",0464,***,16.6 ,14.5, 18.8,N/A , 3 , 29,49,stable,1.1 ,-0.7, 2.9
"Kerr, TX - Gillespie, TX(7)",0506,***,16.6 ,13.5, 20.2,N/A , 2 , 35,27,stable,-1.1 ,-3.0, 1.0
"Dickinson, MI - Menominee, MI(7)",0315,***,16.5 ,12.3, 21.8,N/A , 7 , 25,13,stable,3.8 ,-0.5, 8.4
"Comanche (Lawton), OK - Kiowa, OK(7)",0493,***,16.5 ,13.7, 19.8,N/A , 14 , 22,24,stable,-0.4 ,-3.0, 2.4
"Randolph, WV - Barbour, WV(7)",0050,***,16.5 ,12.5, 21.5,N/A , 7 , 15,13,stable,-2.7 ,-6.9, 1.7
"Taney, MO(7)",0676,***,16.4 ,12.3, 21.6,N/A , 3 , 22,12,stable,-0.2 ,-3.9, 3.5
"Ramsey, ND - Benson, ND(7)",0655,***,16.4 ,10, 25.6,N/A , 2 , 8,4,*,*,*,*
"Chambers, AL - Randolph, AL(7)",0172,***,16.4 ,12.3, 21.4,N/A , 8 , 20,12,stable,1.7 ,-1.9, 5.5
"Delaware, OK(7)",0932,***,16.3 ,12.3, 21.6,N/A , 11 , 22,12,stable,-1.3 ,-4.4, 2.0
"Pettis, MO - Saline, MO(7)",0656,***,16.3 ,13.2, 19.9,N/A , 5 , 21,22,stable,1.8 ,-1.4, 5.1
"Bell (Killeen), TX - Coryell, TX(7)",0452,***,16.3 ,14.5, 18.1,N/A , 5 , 28,68,stable,-1.2 ,-2.7, 0.4
"Baldwin, GA(7)",0828,***,16.2 ,11.5, 22.3,N/A , 15 , 41,8,stable,-1.2 ,-5.1, 3.0
"Larimer, CO(7)",0796,***,16.2 ,14.4, 18.2,N/A , 9 , 14,61,falling,-2.5 ,-4.4, -0.6
"Talladega, AL - Clay, AL(7)",0241,***,16.2 ,13.2, 19.8,N/A , 10 , 19,22,stable,1.2 ,-1.6, 4.0
"Buchanan (St. Joseph), MO - Nodaway, MO(7)",0953,***,16.2 ,13.6, 19.2,N/A , 6 , 21,30,stable,3.0 ,-0.3, 6.4
"Maury, TN - Giles, TN(7)",0208,***,16.2 ,13.7, 19,N/A , 12 , 26,33,stable,-0.7 ,-3.0, 1.7
"Essex (Newark), NJ - Middlesex, NJ(7)",0066,***,16.2 ,15.5, 16.9,N/A , 7 , 8,458,stable,-3.8 ,-8.3, 1.0
"Osceola, FL(7)",0257,***,16.1 ,14.3, 18.2,N/A , 15 , 17,56,stable,-0.2 ,-1.9, 1.5
"Polk, AR(7)",0534,***,16.1 ,9.9, 25.1,N/A , 3 , 21,5,stable,1.2 ,-2.6, 5.2
"Klickitat, WA - Skamania, WA(7)",0972,***,16.1 ,11.3, 22.4,N/A , 9 , 14,9,stable,1.1 ,-3.5, 6.0
"Jefferson Davis, MS - Lawrence, MS(7)",0504,***,16 ,10, 24.5,N/A , 1 , 23,5,*,*,*,*
"Perry, IN(7)",0316,***,15.9 ,9.6, 25.2,N/A , 8 , 29,4,stable,0.3 ,-5.4, 6.3
"Bristol (New Bedford), MA(7)",0068,***,15.9 ,14.5, 17.3,N/A , 5 , 6,109,stable,-0.3 ,-1.9, 1.3
"La Porte, IN - Starke, IN(7)",0378,***,15.9 ,13.1, 19,N/A , 19 , 29,25,falling,-11.5 ,-21.6, -0.1
"Polk, WI(7)",0906,***,15.8 ,11.7, 21.2,N/A , 17 , 25,10,stable,2.1 ,-1.5, 5.9
"Titus, TX - Morris, TX(7)",0465,***,15.8 ,12.1, 20.3,N/A , 2 , 41,13,stable,1.4 ,-1.9, 4.8
"Johnson, AR(7)",0522,***,15.8 ,9.9, 23.8,N/A , 4 , 21,5,stable,0.5 ,-4.2, 5.4
"Terrebonne (Houma), LA - Lafourche, LA(7)",0467,***,15.8 ,13.6, 18.2,N/A , 5 , 13,40,rising,4.7 ,2.2, 7.2
"Oneida, WI - Vilas, WI(7)",0905,***,15.8 ,12.3, 19.9,N/A , 18 , 25,19,stable,1.6 ,-1.3, 4.5
"Palo Pinto, TX - Jack, TX(7)",0479,***,15.7 ,11, 21.9,N/A , 1 , 45,8,stable,0.9 ,-3.1, 5.0
"Umatilla, OR - Morrow, OR(7)",0717,***,15.7 ,12.3, 19.8,N/A , 6 , 12,16,stable,-0.6 ,-4.3, 3.3
"Sumter, GA - Crisp, GA(7)",0197,***,15.7 ,12.5, 19.6,N/A , 23 , 41,17,rising,3.7 ,1.3, 6.1
"Yakima (Yakima), WA - Kittitas, WA(7)",0739,***,15.7 ,13.8, 17.9,N/A , 9 , 13,48,stable,0.1 ,-2.0, 2.2
"Pueblo (Pueblo), CO - Las Animas, CO(7)",0704,***,15.7 ,13.4, 18.3,N/A , 9 , 15,36,stable,0.3 ,-1.7, 2.3
"Alamosa, CO - Rio Grande, CO(7)",0731,***,15.5 ,11.1, 21.2,N/A , 7 , 15,9,stable,-1.8 ,-5.5, 2.0
"Colquitt, GA(7)",0254,***,15.4 ,10.9, 21.3,N/A , 18 , 41,8,stable,-3.2 ,-7.3, 1.1
"Tulare, CA(7)",0789,***,15.4 ,13.7, 17.2,N/A , 26 , 29,63,stable,0.5 ,-0.9, 1.9
"Travis (Austin), TX - Williamson, TX(7)",0425,***,15.4 ,14.5, 16.2,N/A , 11 , 26,274,stable,1.5 ,-1.8, 4.9
"Grand Forks (Grand Forks), ND - Walsh, ND(7)",0949,***,15.3 ,11.8, 19.5,N/A , 4 , 8,15,stable,1.7 ,-2.7, 6.3
"Navajo, AZ(7)",0740,***,15.2 ,12.2, 18.9,N/A , 3 , 4,19,stable,1.6 ,-1.7, 4.9
"Harrison (Marshall), TX - Cass, TX(7)",0485,***,15.2 ,12.1, 18.7,N/A , 3 , 41,19,rising,3.9 ,1.0, 6.8
"Coffee, GA - Jeff Davis, GA(7)",0236,***,15.2 ,11.2, 20.1,N/A , 20 , 41,10,stable,0.9 ,-2.5, 4.4
"Washington, GA - Jefferson, GA(7)",0250,***,15.1 ,10.2, 21.7,N/A , 17 , 41,6,rising,3.1 ,0.1, 6.3
"Caddo (Shreveport), LA - Bossier, LA(7)",0416,***,15.1 ,13.7, 16.7,N/A , 7 , 13,87,rising,1.4 ,0.1, 2.7
"Lee, MS - Monroe, MS(7)",0418,***,15.1 ,12.9, 17.7,N/A , 11 , 21,33,*,*,*,*
"Union, AR - Columbia, AR(7)",0486,***,15.1 ,11.5, 19.6,N/A , 9 , 21,13,stable,2.9 ,-1.2, 7.0
"Otero, CO - Prowers, CO(7)",0745,***,15 ,10.6, 20.7,N/A , 8 , 15,8,stable,-1.0 ,-5.4, 3.5
"Nash, NC - Halifax, NC(7)",0214,***,15 ,13, 17.2,N/A , 26 , 32,44,stable,0.7 ,-0.9, 2.4
"Hardin, TN - McNairy, TN(7)",0245,***,14.9 ,11, 20,N/A , 10 , 28,11,stable,-0.1 ,-2.9, 2.8
"Walla Walla, WA - Columbia, WA(7)",0967,***,14.9 ,11.2, 19.6,N/A , 9 , 14,12,falling,-9.9 ,-16.1, -3.1
"Cumberland (Fayetteville), NC - Sampson, NC(7)",0262,***,14.8 ,13.1, 16.7,N/A , 27 , 32,56,stable,-1.8 ,-3.4, 0.0
"Cape Girardeau, MO - Butler, MO(7)",0944,***,14.8 ,12.9, 16.8,N/A , 12 , 21,50,rising,3.2 ,1.3, 5.2
"Nolan, TX - Mitchell, TX(7)",0503,***,14.8 ,9.2, 22.6,N/A , 1 , 47,5,stable,1.3 ,-3.5, 6.2
"Aroostook, ME(7)",0136,***,14.7 ,11.2, 19.1,N/A , 5 , 6,14,stable,1.3 ,-1.9, 4.6
"Houghton, MI - Baraga, MI(7)",0359,***,14.7 ,10.3, 20.5,N/A , 10 , 25,8,stable,-3.4 ,-8.5, 1.9
"McLennan (Waco), TX - Hill, TX(7)",0462,***,14.7 ,13, 16.5,N/A , 10 , 35,57,falling,-12.3 ,-21.5, -2.0
"Jackson, AR(7)",0521,***,14.7 ,8.4, 24.1,N/A , 4 , 21,3,*,*,*,*
"Montgomery (Clarksville), TN - Stewart, TN(7)",0234,***,14.6 ,12.2, 17.3,N/A , 15 , 27,28,stable,0.2 ,-2.2, 2.6
"Lake (Gary), IN - Porter, IN(7)",0308,***,14.6 ,13.4, 15.9,N/A , 26 , 29,121,rising,1.5 ,0.1, 2.9
"Petersburg City, VA - Prince George, VA(7)",0077,***,14.6 ,12.1, 17.5,N/A , 12 , 20,24,stable,1.7 ,-0.7, 4.1
"DeSoto, MS - Marshall, MS(7)",0146,***,14.6 ,12.7, 16.7,N/A , 13 , 22,45,*,*,*,*
"Miami-Dade (Miami), FL - Broward, FL(7)",0200,***,14.6 ,14.1, 15,N/A , 16 , 17,828,stable,0.0 ,-0.7, 0.6
"Tazewell, VA - Buchanan, VA(7)",0039,***,14.5 ,11.1, 18.9,N/A , 10 , 21,13,stable,-0.9 ,-4.3, 2.6
"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK(7)",0820,***,14.5 ,13, 16.2,N/A , 1 , 4,73,stable,-4.6 ,-11.8, 3.2
"Gray, TX - Wheeler, TX(7)",0460,***,14.5 ,9.5, 21.2,N/A , 1 , 46,6,stable,-2.3 ,-6.3, 1.8
"Lowndes, MS - Clay, MS(7)",0934,***,14.4 ,11.3, 18.2,N/A , 8 , 22,15,*,*,*,*
"Mississippi, AR(7)",0614,***,14.4 ,9.7, 20.5,N/A , 9 , 21,6,stable,3.6 ,-1.3, 8.6
"Jefferson (Beaumont), TX - Orange, TX(7)",0413,***,14.3 ,12.9, 15.9,N/A , 13 , 35,76,stable,-1.5 ,-3.1, 0.0
"Dallas (Dallas), TX - Collin, TX(7)",0453,***,14.3 ,13.8, 14.9,N/A , 17 , 30,537,rising,1.2 ,0.4, 2.1
"Bergen, NJ - Hudson (Jersey City), NJ(7)",0036,***,14.3 ,13.6, 15,N/A , 8 , 9,342,falling,-1.0 ,-1.6, -0.4
"Howell, MO - Oregon, MO(7)",0946,***,14.2 ,10.4, 18.9,N/A , 6 , 22,11,stable,1.6 ,-1.3, 4.7
"Hampden (Springfield), MA - Hampshire, MA(7)",0032,***,14.1 ,12.9, 15.4,N/A , 5 , 6,107,stable,-1.2 ,-2.5, 0.1
"Dona Ana (Las Cruces), NM - Luna, NM(7)",0732,***,14.1 ,12.2, 16.2,N/A , 3 , 6,42,rising,1.1 ,0.1, 2.0
"Montgomery, MD - Prince Georges, MD(7)",0869,***,14.1 ,13.4, 14.8,N/A , 9 , 9,340,stable,-0.3 ,-1.2, 0.6
"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK(7)",0817,***,14.1 ,8.6, 22,N/A , 1 , 4,4,stable,1.4 ,-2.1, 5.0
"Benton (Kennewick), WA - Franklin, WA(7)",0702,***,14.1 ,12.2, 16.3,N/A , 10 , 14,40,stable,-0.9 ,-2.6, 0.9
"Russell, AL(7)",0166,***,14.1 ,10.2, 19,N/A , 10 , 20,9,stable,0.7 ,-3.1, 4.6
"Otero, NM - Lincoln, NM(7)",0769,***,14 ,11, 17.7,N/A , 3 , 7,16,falling,-2.5 ,-4.8, -0.2
"Union, OR - Baker, OR(7)",0759,***,13.9 ,10.2, 18.8,N/A , 8 , 12,10,stable,-1.0 ,-4.6, 2.7
"Hays (San Marcos), TX - Caldwell, TX(7)",0510,***,13.8 ,11.6, 16.3,N/A , 10 , 41,30,falling,-4.6 ,-6.1, -3.0
"Orleans (New Orleans), LA - Jefferson, LA(7)",0403,***,13.7 ,12.7, 14.7,N/A , 10 , 14,156,rising,3.3 ,1.8, 4.8
"Marion, AL - Fayette, AL(7)",0247,***,13.6 ,9.6, 19,N/A , 10 , 20,8,falling,-14.2 ,-26.0, -0.4
"Los Angeles (Los Angeles), CA(7)",0723,***,13.6 ,13.3, 13.9,N/A , 28 , 29,1448,falling,-0.6 ,-1.0, -0.2
"St. Landry, LA - Evangeline, LA(7)",0463,***,13.6 ,10.7, 16.9,N/A , 7 , 15,17,rising,4.3 ,1.7, 7.0
"Vernon, MO - Cedar, MO(7)",0639,***,13.5 ,8.6, 20.2,N/A , 5 , 22,6,stable,-1.2 ,-6.9, 4.8
"Miller, AR - Hempstead, AR(7)",0404,***,13.5 ,10.9, 16.6,N/A , 13 , 21,20,rising,4.2 ,0.5, 8.0
"Ector (Odessa), TX - Reeves, TX(7)",0444,***,13.4 ,11, 16.1,N/A , 11 , 43,23,stable,-0.7 ,-2.9, 1.5
"Yazoo, MS(7)",0533,***,13.4 ,8, 21,N/A , 3 , 24,4,*,*,*,*
