
	Screening and Risk Factors Report for United States by County
(2008-2010 County Level Modeled Estimate Combining BRFSS & NHIS)

Ever Smoked
"All Races (includes Hispanic), Both Sexes, Ages 18+"
Healthy People 2020 Objective Number: n/a

Sorted by Percent

County, FIPS,Met Objective?(1),"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pike County, Indiana",18125,n/a,57.4 ,47.5, 67.3
"Wood County, West Virginia",54107,n/a,57.4 ,48.8, 66.1
"Wyandot County, Ohio",39175,n/a,57.4 ,47.2, 67.6
"Archer County, Texas",48009,n/a,57.3 ,45.4, 69.2
"Chouteau County, Montana",30015,n/a,57.3 ,46.3, 68.2
"Estill County, Kentucky",21065,n/a,57.3 ,47.5, 67.1
"Lane County, Kansas",20101,n/a,57.3 ,43.9, 70.8
"Pembina County, North Dakota",38067,n/a,57.3 ,47.0, 67.6
"Pierce County, North Dakota",38069,n/a,57.3 ,45.5, 69.2
"Piscataquis County, Maine",23021,n/a,57.3 ,48.5, 66.2
"Shelby County, Indiana",18145,n/a,57.3 ,48.2, 66.3
"Toole County, Montana",30101,n/a,57.3 ,45.0, 69.5
"Fulton County, Illinois",17057,n/a,57.2 ,48.0, 66.3
"Merrick County, Nebraska",31121,n/a,57.2 ,47.1, 67.2
"Monroe County, Illinois",17133,n/a,57.2 ,46.0, 68.4
"Piatt County, Illinois",17147,n/a,57.2 ,46.8, 67.5
"Schuyler County, New York",36097,n/a,57.2 ,47.7, 66.6
"Ballard County, Kentucky",21007,n/a,57.1 ,46.9, 67.4
"Douglas County, South Dakota",46043,n/a,57.1 ,45.4, 68.8
"Logan County, Kansas",20109,n/a,57.1 ,44.2, 69.9
"Newton County, Arkansas",05101,n/a,57.1 ,46.5, 67.8
"Richland County, Illinois",17159,n/a,57.1 ,46.9, 67.2
"Richland County, Montana",30083,n/a,57.1 ,46.2, 67.9
"Washita County, Oklahoma",40149,n/a,57.1 ,47.7, 66.6
"Webster County, Nebraska",31181,n/a,57.1 ,46.1, 68.2
"Athens County, Ohio",39009,n/a,57.0 ,45.9, 68.1
"Clinton County, Kentucky",21053,n/a,57.0 ,46.7, 67.3
"Judith Basin County, Montana",30045,n/a,57.0 ,42.2, 71.9
"La Salle County, Illinois",17099,n/a,57.0 ,48.3, 65.6
"Lancaster County, Virginia",51103,n/a,57.0 ,46.3, 67.7
"Lawrence County, Indiana",18093,n/a,57.0 ,48.0, 66.0
"Morrill County, Nebraska",31123,n/a,57.0 ,46.7, 67.3
"Pawnee County, Kansas",20145,n/a,57.0 ,45.1, 69.0
"Pike County, Ohio",39131,n/a,57.0 ,47.3, 66.7
"Stone County, Mississippi",28131,n/a,57.0 ,46.3, 67.7
"Swain County, North Carolina",37173,n/a,57.0 ,47.1, 66.8
"Boise County, Idaho",16015,n/a,56.9 ,45.2, 68.7
"Fulton County, Indiana",18049,n/a,56.9 ,47.5, 66.3
"Grant County, North Dakota",38037,n/a,56.9 ,45.1, 68.8
"Hutchinson County, South Dakota",46067,n/a,56.9 ,44.9, 68.8
"Iowa County, Iowa",19095,n/a,56.9 ,48.4, 65.4
"Murray County, Oklahoma",40099,n/a,56.9 ,47.1, 66.6
"Powell County, Kentucky",21197,n/a,56.9 ,47.8, 65.9
"Switzerland County, Indiana",18155,n/a,56.9 ,46.2, 67.6
"Union County, Georgia",13291,n/a,56.9 ,46.0, 67.8
"Camden County, Missouri",29029,n/a,56.8 ,47.4, 66.1
"Green County, Kentucky",21087,n/a,56.8 ,45.6, 68.0
"Marion County, Alabama",01093,n/a,56.8 ,48.3, 65.4
"Marion County, Illinois",17121,n/a,56.8 ,48.9, 64.6
"Pittsburg County, Oklahoma",40121,n/a,56.8 ,48.4, 65.3
"Ringgold County, Iowa",19159,n/a,56.8 ,46.0, 67.5
"Somerset County, Maine",23025,n/a,56.8 ,48.2, 65.4
"Washington County, Missouri",29221,n/a,56.8 ,48.7, 65.0
"Arenac County, Michigan",26011,n/a,56.7 ,47.3, 66.1
"Breckinridge County, Kentucky",21027,n/a,56.7 ,47.7, 65.6
"Clay County, Tennessee",47027,n/a,56.7 ,46.8, 66.6
"Dewey County, South Dakota",46041,n/a,56.7 ,42.9, 70.5
"Hand County, South Dakota",46059,n/a,56.7 ,44.9, 68.5
"Huntington County, Indiana",18069,n/a,56.7 ,47.8, 65.6
"Langlade County, Wisconsin",55067,n/a,56.7 ,47.8, 65.5
"Morgan County, Indiana",18109,n/a,56.7 ,48.0, 65.4
"Nye County, Nevada",32023,n/a,56.7 ,47.6, 65.9
"Pacific County, Washington",53049,n/a,56.7 ,50.2, 63.2
"Platte County, Wyoming",56031,n/a,56.7 ,47.6, 65.9
"Sherman County, Nebraska",31163,n/a,56.7 ,44.6, 68.7
"Wakulla County, Florida",12129,n/a,56.7 ,49.2, 64.1
"Washington County, Maine",23029,n/a,56.7 ,47.8, 65.6
"Audubon County, Iowa",19009,n/a,56.6 ,46.6, 66.6
"Dewey County, Oklahoma",40043,n/a,56.6 ,44.5, 68.7
"Gallia County, Ohio",39053,n/a,56.6 ,47.3, 65.8
"Golden Valley County, North Dakota",38033,n/a,56.6 ,42.2, 71.0
"Grant County, Kentucky",21081,n/a,56.6 ,47.1, 66.0
"Lamar County, Alabama",01075,n/a,56.6 ,47.7, 65.5
"Maries County, Missouri",29125,n/a,56.6 ,45.8, 67.4
"McIntosh County, Georgia",13191,n/a,56.6 ,46.5, 66.6
"Menard County, Illinois",17129,n/a,56.6 ,45.9, 67.4
"Nowata County, Oklahoma",40105,n/a,56.6 ,45.3, 68.0
"Perry County, Ohio",39127,n/a,56.6 ,47.2, 65.9
"Storey County, Nevada",32029,n/a,56.6 ,43.9, 69.3
"Walworth County, South Dakota",46129,n/a,56.6 ,46.7, 66.6
"Alcona County, Michigan",26001,n/a,56.5 ,46.2, 66.8
"Campbell County, Tennessee",47013,n/a,56.5 ,47.2, 65.8
"Craig County, Virginia",51045,n/a,56.5 ,45.9, 67.2
"Greene County, Iowa",19073,n/a,56.5 ,46.8, 66.1
"Lewis County, Tennessee",47101,n/a,56.5 ,46.7, 66.4
"Lincoln County, Maine",23015,n/a,56.5 ,47.7, 65.4
"Monroe County, Ohio",39111,n/a,56.5 ,45.5, 67.6
"Owsley County, Kentucky",21189,n/a,56.5 ,45.3, 67.7
"Cherokee County, North Carolina",37039,n/a,56.4 ,47.1, 65.6
"Coshocton County, Ohio",39031,n/a,56.4 ,47.4, 65.4
"Emporia City, Virginia",51595,n/a,56.4 ,43.0, 69.7
"Essex County, Vermont",50009,n/a,56.4 ,46.6, 66.3
"Gibson County, Indiana",18051,n/a,56.4 ,47.5, 65.2
"Hamilton County, New York",36041,n/a,56.4 ,45.2, 67.6
"Jennings County, Indiana",18079,n/a,56.4 ,47.2, 65.7
"Lake County, Oregon",41037,n/a,56.4 ,46.0, 66.9
"Lawrence County, Kentucky",21127,n/a,56.4 ,46.7, 66.1
"Marion County, Georgia",13197,n/a,56.4 ,44.6, 68.2
"Mason County, Illinois",17125,n/a,56.4 ,45.4, 67.4
"Nelson County, North Dakota",38063,n/a,56.4 ,44.9, 67.9
"Nicholas County, Kentucky",21181,n/a,56.4 ,45.4, 67.4
"Upshur County, West Virginia",54097,n/a,56.4 ,47.6, 65.3
"Walker County, Alabama",01127,n/a,56.4 ,47.0, 65.9
"Carlisle County, Kentucky",21039,n/a,56.3 ,46.8, 65.8
"Hidalgo County, New Mexico",35023,n/a,56.3 ,43.0, 69.5
"Magoffin County, Kentucky",21153,n/a,56.3 ,45.1, 67.5
"Mineral County, West Virginia",54057,n/a,56.3 ,46.8, 65.9
"Ohio County, Indiana",18115,n/a,56.3 ,45.4, 67.1
"Perry County, Kentucky",21193,n/a,56.3 ,47.0, 65.6
"Harney County, Oregon",41025,n/a,56.2 ,44.9, 67.5
"Hood County, Texas",48221,n/a,56.2 ,47.3, 65.2
"Logan County, Illinois",17107,n/a,56.2 ,44.6, 67.8
"Love County, Oklahoma",40085,n/a,56.2 ,46.3, 66.0
"Martinsville City, Virginia",51690,n/a,56.2 ,45.9, 66.5
"McCracken County, Kentucky",21145,n/a,56.2 ,47.4, 64.9
"Randolph County, Missouri",29175,n/a,56.2 ,45.8, 66.6
"Rock County, Nebraska",31149,n/a,56.2 ,40.9, 71.5
"Calhoun County, Illinois",17013,n/a,56.1 ,44.9, 67.2
"Charlton County, Georgia",13049,n/a,56.1 ,43.6, 68.6
"Cocke County, Tennessee",47029,n/a,56.1 ,46.5, 65.7
"Curry County, Oregon",41015,n/a,56.1 ,48.8, 63.4
"Guernsey County, Ohio",39059,n/a,56.1 ,47.1, 65.1
"Pendleton County, Kentucky",21191,n/a,56.1 ,46.5, 65.7
